source,arch,arm,n_origins,RMSE,vs_floor,wins,p
beat_combo,A3TGCN+STGAT+ASTGCN,multi_raw,9,26.851308398776585,-0.7198228810871594,8,0.013365087521375512
beat_combo,ASTGCN,ens_blend_raw,9,26.922243912980335,-0.6488873668834059,8,0.032853848120247414
beat_combo,ASTGCN,ens_raw,9,26.923351287841797,-0.6477799920219467,8,0.03223852255534515
beat_combo,A3TGCN,ens_raw,9,26.950383292304146,-0.6207479875595987,6,0.26626057949912457
beat_combo_gauss,A3TGCN+STGAT+ASTGCN,multi_raw,9,26.992936346266006,-0.5781949335977389,6,0.03716580415520947
beat_combo,A3TGCN,raw,9,27.073169178432888,-0.49796210143085534,5,0.349606971448255
beat_combo_gauss,ASTGCN,ens_raw,9,27.079400486416286,-0.49173079344745674,7,0.1837641895883246
beat_combo_gauss,ASTGCN,ens_blend_raw,9,27.137935278876146,-0.4331960009875997,7,0.23278522211407235
beat_combo,ASTGCN,blend_raw,9,27.154707632984085,-0.41642364687965816,7,0.12370749326879786
beat_combo,ASTGCN,raw,9,27.172086574413157,-0.39904470545058524,7,0.16689180474588103
beat_combo,A3TGCN,ens_blend_raw,9,27.189452059351883,-0.3816792205118603,7,0.14905303911043613
beat_combo_gauss,A3TGCN,ens_raw,9,27.223596996731228,-0.34753428313251533,5,0.3003650327029883
beat_combo_gauss,A3TGCN,ens_blend_raw,9,27.24427218677624,-0.32685909308750616,6,0.2537235359438709
beat_combo_gauss,ASTGCN,blend_raw,9,27.2562322946911,-0.31489898517264414,7,0.3484330983066437
beat_combo,A3TGCN,blend_raw,9,27.29216484994744,-0.2789664299163037,6,0.23238925807723584
beat_combo_nb,ASTGCN,ens_blend_raw,9,27.31040040633647,-0.2607308735272734,6,0.5493938169316099
beat_combo_gauss,A3TGCN,raw,9,27.313341953136305,-0.2577893267274407,5,0.39788235657293125
beat_combo_nb,ASTGCN,ens_raw,9,27.32978555891249,-0.24134572095125448,6,0.5868933971634511
beat_combo_gauss,ASTGCN,raw,9,27.33035119374593,-0.24078008611781282,7,0.4946331352033779
beat_combo_gauss,A3TGCN,blend_raw,9,27.332582701436664,-0.238548578427082,6,0.3277469764317923
beat_combo_gauss,STGAT,ens_raw,9,27.42375723520915,-0.14737404465459647,6,0.6333101670254131
beat_combo_nb,ASTGCN,blend_raw,9,27.45156501135734,-0.1195662685064054,5,0.7762906605019937
beat_combo,STGAT,ens_raw,9,27.49007013108995,-0.08106114877379136,5,0.26519609257214505
beat_combo_gauss,STGAT,ens_blend_raw,9,27.505104060919223,-0.06602721894452104,6,0.8081014701746052
beat_combo,STGAT,ens_blend_raw,9,27.509150615433796,-0.06198066442994548,5,0.26237370006203403
beat_combo_gauss,STGAT,raw,9,27.514929170961732,-0.05620210890201073,5,0.848671220580114
beat_combo,STGAT,raw,9,27.5168074855098,-0.054323794353942155,4,0.47944916773193613
beat_combo_nb,ASTGCN,raw,9,27.51742027424,-0.053711005623744076,5,0.8999273772361125
beat_combo,STGAT,blend_raw,9,27.520090244060977,-0.051041035802763486,4,0.34977463416293764
beat_combo_gauss,A3TGCN,ens_blend_smear,9,27.550072253007258,-0.02105902685648707,1,0.7319251195361799
beat_combo_gauss,STGAT,ens_blend_smear,9,27.561934942096567,-0.009196337767174927,1,0.8226706358401923
beat_combo_gauss,STGAT,blend_smear,9,27.565152825364837,-0.005978454498905784,1,0.8749796041253987
beat_combo_gauss,A3TGCN,blend_smear,9,27.567832308812218,-0.0032989710515225726,2,0.9521414783933091
beat_combo,STGAT,blend_smear,9,27.575594487757083,0.004463207893338329,1,0.3076270912913226
beat_combo,STGAT,blend_lognorm,9,27.575918010146204,0.00478673028246056,0,0.26879092315128816
beat_combo,STGAT,ens_blend_lognorm,9,27.575926472449794,0.004795192586050077,0,0.2688972050122836
beat_combo,STGAT,ens_blend_smear,9,27.57596520223988,0.004833922376132844,0,0.2641858397198539
beat_combo,A3TGCN,ens_blend_smear,9,27.59538240872001,0.024251128856265878,1,0.46926894776060046
beat_combo_gauss,STGAT,blend_raw,9,27.612215605333535,0.04108432546979558,5,0.8766207644092132
beat_combo_gauss,A3TGCN,ens_blend_lognorm,9,27.627101646390525,0.05597036652677821,1,0.3465935070873415
beat_combo_nb,A3TGCN,ens_blend_smear,9,27.630892980658633,0.059761700794887754,0,0.30850073066584566
beat_combo,A3TGCN,blend_smear,9,27.632492929349723,0.06136164948598082,0,0.2098007700358698
beat_combo_nb,STGAT,ens_blend_smear,9,27.645488402929885,0.07435712306614306,1,0.32272150913281183
beat_combo_nb,ASTGCN,ens_blend_smear,9,27.6492335676938,0.07810228783005375,4,0.8784989836560333
beat_combo_nb,STGAT,ens_blend_lognorm,9,27.660057286651455,0.08892600678770969,0,0.3142746202943835
beat_combo_nb,A3TGCN,blend_lognorm,9,27.661487677099828,0.09035639723608568,0,0.3173457513299577
beat_combo_nb,A3TGCN,ens_blend_lognorm,9,27.662396111042806,0.09126483117906127,0,0.32158463940382104
beat_combo_nb,STGAT,blend_lognorm,9,27.690681535222822,0.11955025535907676,0,0.17656348951420361
beat_combo_nb,A3TGCN,blend_raw,9,27.787630209572175,0.21649892970843077,4,0.43294245213846005
beat_combo_nb,A3TGCN,blend_smear,9,27.796513688892773,0.2253824090290245,1,0.3423535723944921
beat_combo,A3TGCN,ens_blend_lognorm,9,27.82461521398224,0.2534839341184948,1,0.23742857077700494
beat_combo_nb,ASTGCN,blend_smear,9,27.85986509712156,0.2887338172578173,4,0.6169911076452653
beat_combo_gauss,ASTGCN,blend_lognorm,9,27.88489326160798,0.3137619817442364,6,0.4237647050770631
beat_combo_nb,A3TGCN,ens_blend_raw,9,27.94490061644366,0.37376933657992,5,0.21751115744731597
beat_combo_gauss,ASTGCN,ens_blend_lognorm,9,27.951028847773884,0.3798975679101392,4,0.31459041601169907
beat_combo,ASTGCN,ens_calib,9,27.95809480603679,0.3869635261730448,6,0.7290308924529092
beat_combo,ASTGCN,ens_blend_calib,9,27.966407751589678,0.3952764717259342,5,0.7232270188855054
beat_combo_gauss,ASTGCN,ens_blend_calib,9,27.96886541700485,0.39773413714110933,6,0.7141915678520288
beat_combo_gauss,ASTGCN,ens_calib,9,27.973520894599837,0.40238961473609197,6,0.711056249967621
beat_combo_gauss,ASTGCN,ens_blend_smear,9,28.001737157696592,0.43060587783284787,6,0.5517620066931626
beat_combo,A3TGCN,blend_lognorm,9,28.017086314887834,0.44595503502408856,1,0.14853310645237683
beat_combo,ASTGCN,ens_blend_smear,9,28.02712942133169,0.45599814146794615,5,0.533720029738175
beat_combo_gauss,A3TGCN+STGAT+ASTGCN,multi_calib,9,28.041650214746102,0.4705189348823604,5,0.6384806400352734
beat_combo_gauss,ASTGCN,blend_smear,9,28.05535224963746,0.4842209697737137,6,0.5127781347482885
beat_combo,ASTGCN,blend_calib,9,28.079845943678237,0.5087146638144939,5,0.6450051250522086
beat_combo,ASTGCN,calib,9,28.096010060571004,0.5248787807072625,5,0.6363140002506495
beat_combo_gauss,ASTGCN,blend_calib,9,28.107561617966205,0.5364303381024613,5,0.6174090548210152
beat_combo,ASTGCN,blend_smear,9,28.107598411446848,0.5364671315831036,5,0.46443444270849077
beat_combo_gauss,ASTGCN,calib,9,28.133528171673806,0.5623968918100629,5,0.6029006201486794
beat_combo_nb,A3TGCN+STGAT+ASTGCN,multi_raw,9,28.138881895277237,0.5677506154134916,5,0.35660481562424773
beat_combo_gauss,STGAT,blend_lognorm,9,28.15233237843591,0.5812010985721682,2,0.18943968894063473
beat_combo,A3TGCN+STGAT+ASTGCN,multi_calib,9,28.152738044139493,0.5816067642757496,6,0.5855433594051003
beat_combo_gauss,A3TGCN,ens_calib,9,28.224233653423152,0.6531023735594074,4,0.45212764335075595
beat_combo_nb,ASTGCN,ens_calib,9,28.227793349947817,0.6566620700840784,4,0.5518554772995925
beat_combo_nb,ASTGCN,ens_blend_calib,9,28.23331807889185,0.6621867990281056,4,0.5475511750555568
beat_combo_gauss,A3TGCN,calib,9,28.272286427279276,0.7011551474155352,4,0.4285271407422191
beat_combo_gauss,A3TGCN,ens_blend_calib,9,28.304749344555542,0.7336180646917979,4,0.3923762526374087
beat_combo_gauss,STGAT,ens_blend_lognorm,9,28.32173187138355,0.7506005915198054,0,0.22100302929534787
beat_combo_nb,ASTGCN,blend_calib,9,28.327838113189795,0.7567068333260478,4,0.4902260897873333
beat_combo_nb,ASTGCN,calib,9,28.337746664209646,0.7666153843459003,4,0.4866360384200078
beat_combo_gauss,A3TGCN,blend_calib,9,28.34770025729742,0.7765689774336764,4,0.37270186324078586
