arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,growth_max,growth_p99,growth_min
persistence,base,0.55,-1,26.882223151529477,13.312745098039215,68,0,26.882223151529477,13.312745098039215,,,
persistence,base,0.7,-1,38.88532915547214,17.15627450980392,68,0,38.88532915547214,17.15627450980392,,,
persistence,base,0.85,-1,68.6183948926748,16.696666666666665,68,6,22.79547681977414,9.18774193548387,,,
DCRNN,base,0.55,0,29.39919090270996,14.104488372802734,68,0,29.39919090270996,14.104488372802734,1.2920703887939453,0.24101948738098145,-1.6380336284637451
DCRNN,base,0.55,1,28.556732177734375,13.723563194274902,68,0,28.556732177734375,13.723563194274902,1.0492148399353027,0.33606410026550293,-1.075620412826538
DCRNN,base,0.55,2,29.15388298034668,14.023287773132324,68,0,29.15388298034668,14.023287773132324,0.5996346326283541,0.26585757851600644,-0.5908107757568359
DCRNN,base,0.55,3,28.00702667236328,13.6843843460083,68,0,28.00702667236328,13.6843843460083,0.7859092360143678,0.2320791482925415,-1.166100025177002
DCRNN,base,0.55,4,27.99494171142578,13.626099586486816,68,0,27.99494171142578,13.626099586486816,0.8351082801818848,0.21016550064086914,-1.009836196899414
DCRNN,base,0.55,5,26.892526626586914,13.261665344238281,68,0,26.892526626586914,13.261665344238281,0.5912171634571779,0.13488080391763194,-0.9225418567657471
DCRNN,base,0.55,6,27.638633728027344,13.527392387390137,68,0,27.638633728027344,13.527392387390137,0.5237081050872803,0.45661401748657227,-0.8456389904022217
DCRNN,base,0.55,7,30.424968719482422,14.601473808288574,68,0,30.424968719482422,14.601473808288574,0.8704500198364258,0.4216041564941406,-1.0385339260101318
DCRNN,base,0.55,8,27.4204044342041,13.341008186340332,68,0,27.4204044342041,13.341008186340332,0.5774745941162109,0.29366278648376465,-0.6430320558213705
DCRNN,base,0.55,9,26.944534301757812,13.329127311706543,68,0,26.944534301757812,13.329127311706543,0.5064489669127452,0.08630478628220979,-0.6005868911743164
DCRNN,base,0.55,10,28.89015007019043,13.89109992980957,68,0,28.89015007019043,13.89109992980957,0.7627452611923218,0.5480375289916992,-0.686517253357974
DCRNN,base,0.55,11,30.392498016357422,14.702524185180664,68,0,30.392498016357422,14.702524185180664,0.9866447448730469,0.7878742229938507,-1.1163029670715332
DCRNN,base,0.55,12,28.07815170288086,13.790555000305176,68,0,28.07815170288086,13.790555000305176,0.8918727126515869,0.29739116163013457,-1.1880323886871338
