arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,PICP,MPIW
persistence,base,0.55,-1,26.882223151529477,13.312745098039215,68,0,26.882223151529477,13.312745098039215,,
persistence,base,0.7,-1,38.88532915547214,17.15627450980392,68,0,38.88532915547214,17.15627450980392,,
persistence,base,0.85,-1,68.6183948926748,16.696666666666665,68,6,22.79547681977414,9.18774193548387,,
A3TGCN,base,0.55,0,27.870691299438477,13.749332427978516,68,0,27.870691299438477,13.749332427978516,,
A3TGCN,base,0.55,1,27.13818359375,13.606307029724121,68,0,27.13818359375,13.606307029724121,,
A3TGCN,base,0.55,2,27.03990936279297,13.300790786743164,68,0,27.03990936279297,13.300790786743164,,
A3TGCN,base,0.7,0,37.694129943847656,16.324222564697266,68,0,37.694129943847656,16.324222564697266,,
A3TGCN,base,0.7,1,37.74776077270508,16.349933624267578,68,0,37.74776077270508,16.349933624267578,,
A3TGCN,base,0.7,2,37.776126861572266,16.52451515197754,68,0,37.776126861572266,16.52451515197754,,
A3TGCN,base,0.85,0,67.70771026611328,16.494598388671875,68,6,22.083940505981445,9.088010787963867,,
A3TGCN,base,0.85,1,67.6533432006836,16.47559356689453,68,6,22.091413497924805,9.074458122253418,,
A3TGCN,base,0.85,2,66.68822479248047,16.361417770385742,68,6,22.046655654907227,9.083683013916016,,
A3TGCN,per_horizon_heads,0.55,0,27.70199966430664,13.358719825744629,68,0,27.70199966430664,13.358719825744629,,
A3TGCN,per_horizon_heads,0.55,1,28.75716781616211,13.739791870117188,68,0,28.75716781616211,13.739791870117188,,
A3TGCN,per_horizon_heads,0.55,2,27.0977783203125,13.250510215759277,68,0,27.0977783203125,13.250510215759277,,
A3TGCN,per_horizon_heads,0.7,0,37.88109588623047,16.475370407104492,68,0,37.88109588623047,16.475370407104492,,
A3TGCN,per_horizon_heads,0.7,1,37.97360610961914,16.47041893005371,68,0,37.97360610961914,16.47041893005371,,
A3TGCN,per_horizon_heads,0.7,2,38.0461311340332,16.58604621887207,68,0,38.0461311340332,16.58604621887207,,
A3TGCN,per_horizon_heads,0.85,0,67.12973022460938,16.395172119140625,68,6,22.107690811157227,9.055692672729492,,
A3TGCN,per_horizon_heads,0.85,1,67.28430938720703,16.42314338684082,68,6,22.009553909301758,9.064796447753906,,
A3TGCN,per_horizon_heads,0.85,2,66.6890640258789,16.360280990600586,68,6,22.053857803344727,9.082772254943848,,
A3TGCN,temporal_attention,0.55,0,27.80451202392578,13.70566177368164,68,0,27.80451202392578,13.70566177368164,,
