arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,growth_max,growth_p99,growth_min
persistence,base,0.55,-1,26.882223151529477,13.312745098039215,68,0,26.882223151529477,13.312745098039215,,,
persistence,base,0.7,-1,38.88532915547214,17.15627450980392,68,0,38.88532915547214,17.15627450980392,,,
persistence,base,0.85,-1,68.6183948926748,16.696666666666665,68,6,22.79547681977414,9.18774193548387,,,
STGAT,base,0.55,0,26.894554138183594,13.35927677154541,68,0,26.894554138183594,13.35927677154541,0.02904224395751953,0.02904224395751953,-0.030051708221435547
STGAT,base,0.55,1,26.906558990478516,13.367751121520996,68,0,26.906558990478516,13.367751121520996,0.03555130958557129,0.03555107116699219,-0.03227972984313965
STGAT,base,0.55,2,27.233308792114258,13.558626174926758,68,0,27.233308792114258,13.558626174926758,0.24234360456466675,0.21980386972427757,-0.24707698822021484
STGAT,base,0.55,3,27.905759811401367,13.66928482055664,68,0,27.905759811401367,13.66928482055664,0.28178977966308594,0.27557762861251833,-0.30834197998046875
STGAT,base,0.55,4,26.907197952270508,13.372010231018066,68,0,26.907197952270508,13.372010231018066,0.04492306709289551,0.0449223518371582,-0.06213796138763428
STGAT,base,0.55,5,26.90331268310547,13.366795539855957,68,0,26.90331268310547,13.366795539855957,0.032990217208862305,0.03297591209411621,-0.04425358772277832
STGAT,base,0.55,6,27.68970489501953,13.700782775878906,68,0,27.68970489501953,13.700782775878906,0.2754700183868408,0.25979292690754185,-0.30130887031555176
STGAT,base,0.55,7,26.91875457763672,13.379944801330566,68,0,26.91875457763672,13.379944801330566,0.05509305000305176,0.0550851845741272,-0.05975604057312012
STGAT,base,0.55,8,26.909679412841797,13.384312629699707,68,0,26.909679412841797,13.384312629699707,0.04080963134765625,0.04080939292907715,-0.04747605323791504
STGAT,base,0.55,9,27.45875358581543,13.703140258789062,68,0,27.45875358581543,13.703140258789062,0.21518421173095703,0.21242974758148195,-0.2795405387878418
STGAT,base,0.55,10,26.993480682373047,13.405223846435547,68,0,26.993480682373047,13.405223846435547,0.12000846862792969,0.11962368488311767,-0.0969996452331543
STGAT,base,0.55,11,27.328414916992188,13.522878646850586,68,0,27.328414916992188,13.522878646850586,0.29804110527038574,0.29192108869552613,-0.24071669578552246
STGAT,base,0.55,12,28.122398376464844,13.716340065002441,68,0,28.122398376464844,13.716340065002441,0.18049144744873047,0.1783357620239258,-0.2672414779663086
