arm,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean
persistence,0.55,-1,26.882223151529477,13.312745098039215,68,0,26.882223151529477,13.312745098039215
persistence,0.7,-1,38.88532915547214,17.15627450980392,68,0,38.88532915547214,17.15627450980392
persistence,0.85,-1,68.6183948926748,16.696666666666665,68,6,22.79547681977414,9.18774193548387
STGAT,0.55,0,26.89284324645996,13.365520477294922,68,0,26.89284324645996,13.365520477294922
STGAT,0.55,1,26.902816772460938,13.373226165771484,68,0,26.902816772460938,13.373226165771484
STGAT,0.55,2,27.220247268676758,13.550928115844727,68,0,27.220247268676758,13.550928115844727
STGAT,0.7,0,37.684661865234375,16.52651596069336,68,0,37.684661865234375,16.52651596069336
STGAT,0.7,1,38.95625686645508,17.187252044677734,68,0,38.95625686645508,17.187252044677734
STGAT,0.7,2,38.90739059448242,17.152666091918945,68,0,38.90739059448242,17.152666091918945
STGAT,0.85,0,68.06752014160156,16.582870483398438,68,6,22.527433395385742,9.139540672302246
STGAT,0.85,1,67.95257568359375,16.569355010986328,68,6,22.557214736938477,9.141451835632324
STGAT,0.85,2,68.18487548828125,16.582809448242188,68,6,22.506662368774414,9.133482933044434
A3TGCN,0.55,0,27.870691299438477,13.749332427978516,68,0,27.870691299438477,13.749332427978516
A3TGCN,0.55,1,27.13818359375,13.606307029724121,68,0,27.13818359375,13.606307029724121
A3TGCN,0.55,2,27.03990936279297,13.300790786743164,68,0,27.03990936279297,13.300790786743164
A3TGCN,0.7,0,37.69412612915039,16.324222564697266,68,0,37.69412612915039,16.324222564697266
A3TGCN,0.7,1,37.74776077270508,16.34993553161621,68,0,37.74776077270508,16.34993553161621
A3TGCN,0.7,2,37.776126861572266,16.52451515197754,68,0,37.776126861572266,16.52451515197754
A3TGCN,0.85,0,67.70771026611328,16.494598388671875,68,6,22.083940505981445,9.088010787963867
A3TGCN,0.85,1,67.6533432006836,16.47559356689453,68,6,22.091413497924805,9.074459075927734
A3TGCN,0.85,2,66.68821716308594,16.361419677734375,68,6,22.046655654907227,9.083683013916016
ASTGCN,0.55,0,28.779991149902344,13.347702026367188,68,0,28.779991149902344,13.347702026367188
ASTGCN,0.55,1,30.571182250976562,14.159162521362305,68,0,30.571182250976562,14.159162521362305
ASTGCN,0.55,2,28.94273567199707,13.626437187194824,68,0,28.94273567199707,13.626437187194824
ASTGCN,0.7,0,39.29496383666992,18.064056396484375,68,0,39.29496383666992,18.064056396484375
ASTGCN,0.7,1,37.33595657348633,16.79715919494629,68,0,37.33595657348633,16.79715919494629
ASTGCN,0.7,2,38.86566162109375,17.74081802368164,68,0,38.86566162109375,17.74081802368164
ASTGCN,0.85,0,63.857452392578125,15.91090202331543,68,6,21.498157501220703,8.9398775100708
ASTGCN,0.85,1,51.74514389038086,13.354264259338379,68,6,20.366331100463867,8.567952156066895
ASTGCN,0.85,2,61.975486755371094,15.670071601867676,68,6,21.448925018310547,8.986701965332031
DCRNN,0.55,0,29.836366653442383,14.501461029052734,68,0,29.836366653442383,14.501461029052734
DCRNN,0.55,1,28.538599014282227,13.986026763916016,68,0,28.538599014282227,13.986026763916016
DCRNN,0.55,2,27.43293571472168,13.47459602355957,68,0,27.43293571472168,13.47459602355957
DCRNN,0.7,0,42.63812255859375,17.594396591186523,68,0,42.63812255859375,17.594396591186523
DCRNN,0.7,1,42.703983306884766,17.970069885253906,68,0,42.703983306884766,17.970069885253906
DCRNN,0.7,2,41.712242126464844,17.848812103271484,68,0,41.712242126464844,17.848812103271484
DCRNN,0.85,0,67.27963256835938,16.470008850097656,68,6,22.322341918945312,9.154845237731934
DCRNN,0.85,1,65.27043914794922,16.10580825805664,68,6,22.644865036010742,9.141871452331543
DCRNN,0.85,2,69.15108489990234,16.69781494140625,68,6,22.44646453857422,9.140703201293945
AAGCN,0.55,0,34.05100631713867,15.609442710876465,68,0,34.05100631713867,15.609442710876465
AAGCN,0.55,1,28.645692825317383,13.6084623336792,68,0,28.645692825317383,13.6084623336792
AAGCN,0.55,2,28.125619888305664,13.155959129333496,68,0,28.125619888305664,13.155959129333496
AAGCN,0.7,0,39.776790618896484,17.42652130126953,68,0,39.776790618896484,17.42652130126953
AAGCN,0.7,1,37.91831588745117,16.64893913269043,68,0,37.91831588745117,16.64893913269043
