district,covariate,lag,r
Ampara,era5_temperature_2m_mean,2,0.08620320576626386
Ampara,era5_temperature_2m_mean,3,0.07090384901843019
Ampara,era5_temperature_2m_mean,4,0.05656516077907701
Ampara,era5_temperature_2m_mean,5,0.07287908656198233
Ampara,era5_temperature_2m_mean,6,0.07159880073000673
Ampara,era5_temperature_2m_mean,7,0.026408219229860978
Ampara,era5_temperature_2m_mean,8,0.013349833754153757
Ampara,era5_temperature_2m_mean,9,0.0026281381012718875
Ampara,era5_temperature_2m_mean,10,-0.011076979331975531
Ampara,era5_temperature_2m_mean,11,-0.03076126554043347
Ampara,era5_temperature_2m_mean,12,-0.03296031071055884
Ampara,era5_temperature_2m_mean,13,-0.04622409124366872
Ampara,era5_temperature_2m_mean,14,-0.0474613536945926
Ampara,era5_temperature_2m_mean,15,-0.07849486151890159
Ampara,era5_temperature_2m_mean,16,-0.09270309494956801
Ampara,era5_temperature_2m_mean,17,-0.07453691131283796
Ampara,era5_temperature_2m_mean,18,-0.09338165633954225
Ampara,era5_temperature_2m_mean,19,-0.12103159205799552
Ampara,era5_temperature_2m_mean,20,-0.11465424797974783
Anuradhapura,era5_temperature_2m_mean,2,-0.0754223860122138
Anuradhapura,era5_temperature_2m_mean,3,-0.10195194383951217
Anuradhapura,era5_temperature_2m_mean,4,-0.080980564324303
Anuradhapura,era5_temperature_2m_mean,5,-0.07657605778998888
Anuradhapura,era5_temperature_2m_mean,6,-0.11115004123435193
Anuradhapura,era5_temperature_2m_mean,7,-0.10076526196408753
Anuradhapura,era5_temperature_2m_mean,8,-0.07168843974657356
Anuradhapura,era5_temperature_2m_mean,9,-0.04522424998472586
Anuradhapura,era5_temperature_2m_mean,10,-0.018325832185046867
Anuradhapura,era5_temperature_2m_mean,11,0.005648413250119284
Anuradhapura,era5_temperature_2m_mean,12,0.015020637308854582
Anuradhapura,era5_temperature_2m_mean,13,0.04924351485352098
Anuradhapura,era5_temperature_2m_mean,14,0.09442617190811928
Anuradhapura,era5_temperature_2m_mean,15,0.08294296211641473
Anuradhapura,era5_temperature_2m_mean,16,0.06661115440836468
Anuradhapura,era5_temperature_2m_mean,17,0.07308324227505811
Anuradhapura,era5_temperature_2m_mean,18,0.055163782264904926
Anuradhapura,era5_temperature_2m_mean,19,0.04507973287256822
Anuradhapura,era5_temperature_2m_mean,20,0.041079568276764664
Badulla,era5_temperature_2m_mean,2,0.17649262734333165
Badulla,era5_temperature_2m_mean,3,0.18241415912988476
Badulla,era5_temperature_2m_mean,4,0.21867643220001134
Badulla,era5_temperature_2m_mean,5,0.24372245618883817
Badulla,era5_temperature_2m_mean,6,0.26589593198907097
Badulla,era5_temperature_2m_mean,7,0.2927510954586695
Badulla,era5_temperature_2m_mean,8,0.29650716566517993
Badulla,era5_temperature_2m_mean,9,0.2911077724005171
Badulla,era5_temperature_2m_mean,10,0.3186319970409319
Badulla,era5_temperature_2m_mean,11,0.3446244304366018
Badulla,era5_temperature_2m_mean,12,0.35308637074817695
Badulla,era5_temperature_2m_mean,13,0.3596994972219862
Badulla,era5_temperature_2m_mean,14,0.3667589307543605
Badulla,era5_temperature_2m_mean,15,0.3487449241003412
Badulla,era5_temperature_2m_mean,16,0.34022898684740926
Badulla,era5_temperature_2m_mean,17,0.30100788654885213
Badulla,era5_temperature_2m_mean,18,0.28911520505377375
Badulla,era5_temperature_2m_mean,19,0.2789638302723026
Badulla,era5_temperature_2m_mean,20,0.2483866644628596
Batticaloa,era5_temperature_2m_mean,2,-0.30099777717155335
Batticaloa,era5_temperature_2m_mean,3,-0.35573627296994487
Batticaloa,era5_temperature_2m_mean,4,-0.407480736435033
Batticaloa,era5_temperature_2m_mean,5,-0.43987560211361443
Batticaloa,era5_temperature_2m_mean,6,-0.4641139619073354
Batticaloa,era5_temperature_2m_mean,7,-0.47911007864451577
Batticaloa,era5_temperature_2m_mean,8,-0.4884953151223758
Batticaloa,era5_temperature_2m_mean,9,-0.4932452454612787
Batticaloa,era5_temperature_2m_mean,10,-0.5058103462060994
Batticaloa,era5_temperature_2m_mean,11,-0.5021407383121539
Batticaloa,era5_temperature_2m_mean,12,-0.5077715707092493
Batticaloa,era5_temperature_2m_mean,13,-0.4894568787101532
Batticaloa,era5_temperature_2m_mean,14,-0.4597984904170298
Batticaloa,era5_temperature_2m_mean,15,-0.4214073267094539
Batticaloa,era5_temperature_2m_mean,16,-0.3929103488931166
Batticaloa,era5_temperature_2m_mean,17,-0.353329250385652
Batticaloa,era5_temperature_2m_mean,18,-0.29833139353427607
Batticaloa,era5_temperature_2m_mean,19,-0.2473108415766317
Batticaloa,era5_temperature_2m_mean,20,-0.19409453975737329
Colombo,era5_temperature_2m_mean,2,-0.18269695397076743
Colombo,era5_temperature_2m_mean,3,-0.2150947821655933
Colombo,era5_temperature_2m_mean,4,-0.2124769221105725
Colombo,era5_temperature_2m_mean,5,-0.20957572033460659
Colombo,era5_temperature_2m_mean,6,-0.21269145048582255
Colombo,era5_temperature_2m_mean,7,-0.20198066293942035
