variant,origin,seed,val_RMSE,val_MAE,test_RMSE,test_MAE,pred_mean,truth_mean,epochs_used,elapsed,cfg_arch,cfg_inputs,cfg_norm,cfg_proj,cfg_head,cfg_horizon_lam,cfg_coupling,cfg_sim,cfg_state,cfg_loss,cfg_omega,cfg_gamma,cfg_rho,cfg_s0,cfg_lambda_max,cfg_epochs,cfg_lr,cfg_hidden,cfg_depletion,cfg_learn_rho,cfg_learn_rates,learned_rho_mult,learned_omega,learned_gamma,cfg_beta_district,cfg_seasonal,cfg_mod_clamp,learned_e_scale,learned_i_scale,cfg_learn_state
baseline,0.55,1,42.05537414550781,19.159364700317383,84.77980041503906,33.70164489746094,21.746368408203125,51.89012145996094,100,22.6,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
baseline,0.55,2,42.26701736450195,19.092697143554688,84.90592193603516,33.70869827270508,21.688142776489258,51.89012145996094,100,22.6,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
baseline,0.55,0,41.64271545410156,19.39754867553711,84.6260757446289,33.79499435424805,21.443262100219727,51.89012145996094,100,23.0,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
baseline,0.7,0,18.48281478881836,8.77597427368164,26.207456588745117,12.339592933654785,11.885411262512207,19.014223098754883,100,24.0,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
baseline,0.7,1,18.280132293701172,8.061219215393066,26.468063354492188,12.2620267868042,10.738933563232422,19.014223098754883,100,24.2,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
baseline,0.7,2,18.257389068603516,7.9248576164245605,26.574024200439453,12.249436378479004,10.494905471801758,19.014223098754883,100,24.3,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.55,0,34.60932159423828,16.1523380279541,68.05127716064453,26.478235244750977,34.735130310058594,51.89012145996094,100,19.6,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.55,2,34.73921585083008,16.15922737121582,68.15933990478516,26.48052978515625,34.64029312133789,51.89012145996094,100,19.5,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.55,1,34.5893440246582,16.337984085083008,68.13291931152344,26.492292404174805,34.286407470703125,51.89012145996094,100,19.6,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
baseline,0.85,0,24.19520378112793,15.45718765258789,71.6575698852539,33.532535552978516,19.65631675720215,50.54822540283203,100,22.4,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
baseline,0.85,1,24.134796142578125,15.358081817626953,72.27313995361328,33.666324615478516,19.475555419921875,50.54822540283203,100,22.9,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
baseline,0.85,2,24.09821128845215,15.322310447692871,72.583740234375,33.71553421020508,19.512672424316406,50.54822540283203,100,22.8,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.7,0,16.534509658813477,7.568692684173584,24.782264709472656,11.604568481445312,14.885077476501465,19.014223098754883,100,21.9,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.7,1,16.595094680786133,7.322357654571533,24.957666397094727,11.629889488220215,14.374772071838379,19.014223098754883,100,21.9,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.7,2,16.61716651916504,7.250592231750488,25.044710159301758,11.662153244018555,14.138327598571777,19.014223098754883,100,22.1,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.85,0,24.60557746887207,14.936763763427734,62.179344177246094,28.072511672973633,31.582393646240234,50.54822540283203,100,23.5,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.85,1,24.630117416381836,14.921390533447266,62.502906799316406,28.14507293701172,31.46169090270996,50.54822540283203,100,23.4,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_flow,0.85,2,24.641775131225586,14.949400901794434,62.56891632080078,28.178796768188477,31.46170997619629,50.54822540283203,100,23.7,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.55,0,37.69735336303711,17.124692916870117,75.58485412597656,29.32884979248047,27.439533233642578,51.89012145996094,100,19.1,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.55,1,38.14259719848633,17.3138427734375,75.889892578125,29.376943588256836,27.041339874267578,51.89012145996094,100,19.0,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.55,2,38.25349426269531,17.328794479370117,75.9783935546875,29.38799476623535,26.925813674926758,51.89012145996094,100,18.9,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.7,0,17.28859519958496,7.884794235229492,25.065553665161133,11.736662864685059,12.802934646606445,19.014223098754883,100,20.2,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.7,1,17.336933135986328,7.420960903167725,25.36640739440918,11.751654624938965,11.898919105529785,19.014223098754883,100,20.1,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.7,2,17.328834533691406,7.305258750915527,25.45758056640625,11.751226425170898,11.642967224121094,19.014223098754883,100,20.2,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.85,0,23.84486198425293,14.915143966674805,66.36467742919922,30.184810638427734,24.646759033203125,50.54822540283203,100,23.0,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.85,1,23.880807876586914,14.87479305267334,66.90306091308594,30.328954696655273,24.44729232788086,50.54822540283203,100,22.9,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.55,0,40.215110778808594,17.969587326049805,83.05745697021484,33.179344177246094,24.148712158203125,51.89012145996094,97,19.0,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
state_residence,0.85,2,23.836585998535156,14.857666969299316,66.98711395263672,30.32703971862793,24.520143508911133,50.54822540283203,100,23.1,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,residence,smape,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.55,1,41.002559661865234,17.989830017089844,83.58904266357422,33.33004379272461,25.033571243286133,51.89012145996094,100,19.7,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.55,2,40.97775650024414,18.302419662475586,83.74573516845703,33.38713455200195,23.049821853637695,51.89012145996094,100,19.5,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.7,0,18.833398818969727,9.189607620239258,26.470033645629883,12.502686500549316,11.797205924987793,19.014223098754883,94,20.2,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.7,1,18.46240997314453,8.592334747314453,26.505552291870117,12.534073829650879,11.510202407836914,19.014223098754883,100,21.5,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.7,2,18.756853103637695,9.014307022094727,26.4080810546875,12.443758010864258,12.122428894042969,19.014223098754883,100,21.5,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.85,0,23.441104888916016,14.877291679382324,72.23981475830078,32.946712493896484,20.945831298828125,50.54822540283203,100,23.3,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.85,1,23.400039672851562,14.808270454406738,72.19058227539062,32.88925552368164,20.911928176879883,50.54822540283203,100,23.3,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
loss_mse,0.85,2,23.452415466308594,14.891183853149414,72.26317596435547,32.93315505981445,20.880949020385742,50.54822540283203,100,23.5,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,orig,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
best_A_B,0.55,0,32.642398834228516,15.048032760620117,66.5357437133789,26.000280380249023,36.55473709106445,51.89012145996094,97,18.4,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
best_A_B,0.55,1,33.02898025512695,15.067822456359863,66.75982666015625,26.210805892944336,37.65507507324219,51.89012145996094,100,19.1,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
best_A_B,0.55,2,33.014835357666016,15.040596961975098,66.60615539550781,26.02541160583496,37.49431610107422,51.89012145996094,100,19.1,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
best_A_B,0.7,0,16.411237716674805,8.212223052978516,24.393529891967773,11.593284606933594,16.5904483795166,19.014223098754883,97,19.7,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
best_A_B,0.7,1,16.202306747436523,7.374293327331543,24.719602584838867,11.611132621765137,15.139331817626953,19.014223098754883,100,20.2,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
best_A_B,0.7,2,16.411739349365234,7.6917805671691895,24.620702743530273,11.542662620544434,15.607831954956055,19.014223098754883,100,20.0,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
best_A_B,0.85,0,23.76700210571289,14.38467788696289,61.86056900024414,27.311777114868164,33.274600982666016,50.54822540283203,100,18.1,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
best_A_B,0.85,1,23.77991485595703,14.436824798583984,61.87501525878906,27.333637237548828,33.37461471557617,50.54822540283203,100,17.2,STGAT,cases,orig,linear1,sigmoid,repeat,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,100,0.003,0,,,,,,,,,,,,
