arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,damp_alpha
v2,0.55,1,20.25840187072754,48.18941879272461,23.164894104003906,-14.00727367401123,45.49281311035156,22.0325927734375,90.9,
v2,0.55,0,20.258729934692383,48.18746566772461,23.163799285888672,-14.003308296203613,45.49281311035156,22.0325927734375,91.2,
v2,0.55,2,20.25876808166504,48.19464874267578,23.167043685913086,-14.013687133789062,45.49281311035156,22.0325927734375,91.2,
v2,0.6,0,41.73818588256836,64.38764953613281,32.70820236206055,22.597509384155273,48.71405792236328,23.578571319580078,62.9,
v2,0.6,1,41.8203125,65.70359802246094,33.686309814453125,24.162246704101562,48.71405792236328,23.578571319580078,62.9,
v2,0.6,2,41.909446716308594,64.46592712402344,32.850589752197266,22.926801681518555,48.71405792236328,23.578571319580078,63.5,
v2,0.5,1,22.481033325195312,19.228870391845703,10.898445129394531,-1.8829007148742676,20.270668029785156,11.64380931854248,188.7,
v2,0.5,2,22.245962142944336,19.0894832611084,10.962285041809082,-1.047727108001709,20.270668029785156,11.64380931854248,208.0,
v2,0.5,0,22.317636489868164,19.8564395904541,11.166616439819336,-2.468397378921509,20.270668029785156,11.64380931854248,227.3,
v2,0.65,1,46.703155517578125,11.551105499267578,5.2488627433776855,0.26886239647865295,11.340509414672852,5.244285583496094,144.0,
v2,0.65,0,46.97503662109375,11.345667839050293,5.163853168487549,0.11896562576293945,11.340509414672852,5.244285583496094,169.9,
v2,0.65,2,46.728843688964844,11.261563301086426,5.089580059051514,-0.18391519784927368,11.340509414672852,5.244285583496094,175.1,
v2,0.7,0,11.6294584274292,15.130611419677734,6.274700164794922,-0.8029168248176575,15.7118501663208,6.584691524505615,150.7,
v2,0.7,1,11.685734748840332,15.259988784790039,6.27984094619751,-0.8367811441421509,15.7118501663208,6.584691524505615,133.1,
v2,0.8,0,27.420331954956055,20.30377197265625,12.369902610778809,-2.067302942276001,21.96774673461914,12.876190185546875,27.0,
v2,0.7,2,11.60765266418457,15.315462112426758,6.295138359069824,-0.7966533303260803,15.7118501663208,6.584691524505615,139.2,
v2,0.8,1,27.41950798034668,20.30362892150879,12.369940757751465,-2.0694198608398438,21.96774673461914,12.876190185546875,26.9,
v2,0.8,2,27.420421600341797,20.303770065307617,12.369974136352539,-2.067263126373291,21.96774673461914,12.876190185546875,26.6,
v2,0.75,0,15.509575843811035,28.349964141845703,11.179983139038086,-2.021599531173706,29.548784255981445,10.929333686828613,99.2,
v2,0.75,1,15.008676528930664,27.91749382019043,11.104628562927246,-1.9575247764587402,29.548784255981445,10.929333686828613,155.8,
v2,0.75,2,15.540787696838379,28.32121467590332,11.196125030517578,-2.076861619949341,29.548784255981445,10.929333686828613,173.5,
v2,0.85,1,21.067930221557617,30.434329986572266,14.679856300354004,-4.164400577545166,30.963665008544922,15.473650932312012,142.9,
v2,0.85,0,21.071712493896484,30.41762351989746,14.695502281188965,-4.279984951019287,30.963665008544922,15.473650932312012,148.6,
v2,0.85,2,21.071557998657227,30.416563034057617,14.696451187133789,-4.273343086242676,30.963665008544922,15.473650932312012,232.8,
damped,0.5,1,21.463773727416992,19.34358787536621,10.980719566345215,-2.476773977279663,20.270668029785156,11.64380931854248,213.8,0.3337220847606659
v2,0.9,0,29.301565170288086,31.877431869506836,16.310117721557617,-3.8185343742370605,32.859073638916016,17.084285736083984,350.7,
damped,0.55,0,19.576526641845703,46.63195037841797,22.38787841796875,-12.866990089416504,45.49281311035156,22.0325927734375,62.7,0.47558674216270447
v2,0.9,1,29.14159393310547,31.749677658081055,16.361440658569336,-2.3217709064483643,32.859073638916016,17.084285736083984,327.0,
damped,0.5,0,22.09779930114746,20.1706485748291,11.259130477905273,-3.4950594902038574,20.270668029785156,11.64380931854248,304.6,0.2678011655807495
damped,0.55,1,19.576534271240234,46.63312530517578,22.3885555267334,-12.869280815124512,45.49281311035156,22.0325927734375,68.3,0.4756213426589966
damped,0.5,2,21.419225692749023,19.457435607910156,11.084283828735352,-2.2191686630249023,20.270668029785156,11.64380931854248,233.6,0.2952283024787903
damped,0.6,0,41.298583984375,59.7408561706543,29.8380126953125,19.9793701171875,48.71405792236328,23.578571319580078,53.4,0.492583304643631
damped,0.55,2,19.576623916625977,46.63599395751953,22.389772415161133,-12.87297248840332,45.49281311035156,22.0325927734375,70.9,0.47560861706733704
damped,0.6,2,41.22142791748047,60.93243408203125,30.32609748840332,20.606399536132812,48.71405792236328,23.578571319580078,49.6,0.49257585406303406
damped,0.6,1,41.147064208984375,58.47391891479492,29.154184341430664,18.889921188354492,48.71405792236328,23.578571319580078,51.6,0.49041232466697693
v2,0.9,2,29.295032501220703,32.7860107421875,16.85331916809082,-0.6108818650245667,32.859073638916016,17.084285736083984,369.5,
damped,0.7,1,11.48984432220459,14.977396011352539,6.183846950531006,-0.927429735660553,15.7118501663208,6.584691524505615,116.7,0.43827372789382935
damped,0.65,1,46.041160583496094,11.165712356567383,4.990126609802246,-0.6206961274147034,11.340509414672852,5.244285583496094,193.7,0.3343123197555542
damped,0.65,2,45.77738571166992,11.152449607849121,4.990525245666504,-0.6292051672935486,11.340509414672852,5.244285583496094,222.8,0.31068915128707886
damped,0.7,0,11.565568923950195,15.214566230773926,6.315459728240967,-1.1503398418426514,15.7118501663208,6.584691524505615,225.7,0.30756351351737976
damped,0.75,1,15.36681842803955,27.09854507446289,10.797300338745117,-2.7287487983703613,29.548784255981445,10.929333686828613,84.3,0.4453071057796478
damped,0.65,0,45.66999816894531,11.131908416748047,5.024394512176514,-0.5347285866737366,11.340509414672852,5.244285583496094,283.5,0.29371529817581177
damped,0.7,2,11.584078788757324,15.211997985839844,6.360273838043213,-0.967001736164093,15.7118501663208,6.584691524505615,291.2,0.2779235243797302
damped,0.8,0,26.55528450012207,20.457683563232422,12.231271743774414,-2.0283825397491455,21.96774673461914,12.876190185546875,73.9,0.4593609869480133
damped,0.75,0,15.52617359161377,27.66259002685547,10.819345474243164,-2.6420633792877197,29.548784255981445,10.929333686828613,185.4,0.31748488545417786
