protocol,segment,n_train,n_eval,MAE,RMSE,MAE_pooled,RMSE_pooled,seconds,quick_test
published,0.6,188,269,26.127135419138348,46.7981689992688,26.12713541913834,88.93255361288054,147.0,False
published,0.7,220,315,22.119215877635163,39.70885087506259,22.119215877635167,57.14364031333122,112.4,False
published,0.8,252,361,24.210365151974177,42.02740531635156,24.210365151974184,56.845017475013485,72.0,False
published,0.9,284,407,24.335446335567095,42.531278715772835,24.335446335567088,59.40088850471834,80.5,False
published,1.0,317,453,23.270126898342067,40.46983584819398,23.270126898342067,55.92264637853622,88.5,False
corrected,0.6,188,81,58.88871039159688,103.92910725469858,58.88871039159687,164.8036286532611,53.2,False
corrected,0.7,220,95,28.32010626108025,50.80192072221176,28.320106261080255,77.12911146824983,61.1,False
corrected,0.8,252,109,29.434484164274405,50.259804458534255,29.43448416427441,63.55752501662957,70.0,False
corrected,0.9,284,123,32.152731054572826,56.041898544309014,32.15273105457282,75.15118824537085,79.1,False
corrected,1.0,317,136,28.55354408517487,49.446682607393754,28.553544085174867,68.21017883949564,90.5,False
