row,year,week_no,week_start,status,is_artifact
0,2013,26,2013-05-15,observed,False
1,2013,27,2013-06-22,observed,False
2,2013,28,2013-06-29,observed,False
3,2013,29,2013-07-06,imputed,False
4,2013,30,2013-07-13,observed,False
5,2013,31,2013-07-20,observed,False
6,2013,32,2013-07-27,observed,False
7,2013,33,2013-08-03,observed,False
8,2013,34,2013-08-10,observed,False
9,2013,35,2013-08-17,observed,False
10,2013,36,2013-08-24,observed,False
11,2013,37,2013-08-31,observed,False
12,2013,38,2013-09-07,observed,False
13,2013,39,2013-09-14,observed,False
14,2013,40,2013-09-21,observed,False
15,2013,41,2013-09-28,observed,False
16,2013,42,2013-10-05,observed,False
17,2013,43,2013-10-12,observed,False
18,2013,44,2013-10-19,observed,False
19,2013,45,2013-10-26,observed,False
20,2013,46,2013-11-02,observed,False
21,2013,47,2013-11-09,observed,False
22,2013,48,2013-11-16,observed,False
23,2013,49,2013-11-23,observed,False
24,2013,50,2013-11-30,observed,False
25,2013,51,2013-12-07,observed,False
26,2013,52,2013-12-14,observed,False
27,2014,1,2013-12-21,observed,False
28,2014,2,2013-12-28,observed,False
29,2014,3,2014-01-04,observed,False
30,2014,4,2014-01-11,observed,False
31,2014,5,2014-01-18,observed,False
32,2014,6,2014-01-25,imputed,False
33,2014,7,2014-02-01,observed,False
34,2014,8,2014-02-08,observed,False
35,2014,9,2014-02-15,observed,False
36,2014,10,2014-02-22,observed,False
37,2014,11,2014-03-01,observed,False
38,2014,12,2014-03-08,observed,False
39,2014,13,2014-03-15,observed,False
40,2014,14,2014-03-22,observed,False
41,2014,15,2014-03-29,observed,False
42,2014,16,2014-04-05,observed,False
43,2014,17,2014-04-12,observed,False
44,2014,18,2014-04-19,observed,False
45,2014,19,2014-04-26,observed,False
46,2014,20,2014-05-03,observed,False
47,2014,21,2014-05-10,observed,False
48,2014,22,2014-05-17,observed,False
49,2014,23,2014-05-24,observed,False
50,2014,24,2014-05-31,observed,False
51,2014,25,2014-06-07,observed,False
52,2014,26,2014-06-14,observed,False
53,2014,27,2014-06-21,observed,False
54,2014,28,2014-06-28,observed,False
55,2014,29,2014-07-05,observed,False
56,2014,30,2014-07-12,observed,False
57,2014,31,2014-07-19,observed,False
58,2014,32,2014-07-26,observed,False
59,2014,33,2014-08-02,observed,False
60,2014,34,2014-08-09,observed,False
61,2014,35,2014-08-16,observed,False
62,2014,36,2014-08-23,observed,False
63,2014,37,2014-08-30,observed,False
64,2014,38,2014-09-06,observed,False
65,2014,39,2014-09-13,observed,False
66,2014,40,2014-09-20,observed,False
67,2014,41,2014-09-27,observed,False
68,2014,42,2014-10-04,observed,False
69,2014,43,2014-10-11,observed,False
70,2014,44,2014-10-18,observed,False
71,2014,45,2014-10-25,observed,False
72,2014,46,2014-11-01,observed,False
73,2014,47,2014-11-08,observed,False
74,2014,48,2014-11-15,observed,False
75,2014,49,2014-11-22,observed,False
76,2014,50,2014-11-29,observed,False
77,2014,51,2014-12-06,observed,False
78,2014,52,2014-12-13,observed,False
79,2015,1,2014-12-20,observed,False
80,2015,2,2014-12-27,observed,False
81,2015,3,2015-01-03,observed,False
82,2015,4,2015-01-10,observed,False
83,2015,5,2015-01-17,observed,False
84,2015,6,2015-01-24,observed,False
85,2015,7,2015-01-31,observed,False
86,2015,8,2015-02-07,observed,False
87,2015,9,2015-02-14,observed,False
88,2015,10,2015-02-21,observed,False
89,2015,11,2015-02-28,observed,False
90,2015,12,2015-03-07,observed,False
91,2015,13,2015-03-14,observed,False
92,2015,14,2015-03-21,observed,False
93,2015,15,2015-03-28,observed,False
94,2015,16,2015-04-04,observed,False
95,2015,17,2015-04-11,observed,False
96,2015,18,2015-04-18,observed,False
97,2015,19,2015-04-25,observed,False
98,2015,20,2015-05-02,observed,False
99,2015,21,2015-05-09,observed,False
100,2015,22,2015-05-16,observed,False
101,2015,23,2015-05-23,observed,False
102,2015,24,2015-05-30,observed,False
103,2015,25,2015-06-06,observed,False
104,2015,26,2015-06-13,observed,False
105,2015,27,2015-06-20,observed,False
106,2015,28,2015-06-27,observed,False
107,2015,29,2015-07-04,observed,False
108,2015,30,2015-07-11,observed,False
109,2015,31,2015-07-18,imputed,False
110,2015,32,2015-07-25,observed,False
111,2015,33,2015-08-01,observed,False
112,2015,34,2015-08-08,observed,False
113,2015,35,2015-08-15,observed,False
114,2015,36,2015-08-22,observed,False
115,2015,37,2015-08-29,observed,False
116,2015,38,2015-09-05,observed,False
117,2015,39,2015-09-12,observed,False
118,2015,40,2015-09-19,observed,False
119,2015,41,2015-09-26,observed,False
120,2015,42,2015-10-03,observed,False
121,2015,43,2015-10-10,observed,False
122,2015,44,2015-10-17,observed,False
123,2015,45,2015-10-24,observed,False
124,2015,46,2015-10-31,observed,False
125,2015,47,2015-11-07,observed,False
126,2015,48,2015-11-14,observed,False
127,2015,49,2015-11-21,observed,False
128,2015,50,2015-11-28,observed,False
129,2015,51,2015-12-05,observed,False
130,2015,52,2015-12-12,observed,False
131,2016,1,2015-12-19,observed,False
132,2016,2,2015-12-26,observed,False
133,2016,3,2016-01-02,observed,False
134,2016,4,2016-01-09,observed,False
135,2016,5,2016-01-16,observed,False
136,2016,6,2016-01-23,observed,False
137,2016,7,2016-01-30,observed,False
138,2016,8,2016-02-06,observed,False
139,2016,9,2016-02-13,observed,False
140,2016,10,2016-02-20,observed,False
141,2016,11,2016-02-27,observed,False
142,2016,12,2016-03-05,observed,False
143,2016,13,2016-03-12,observed,False
144,2016,14,2016-03-19,observed,False
145,2016,15,2016-03-26,observed,False
146,2016,16,2016-04-02,observed,False
147,2016,17,2016-04-09,observed,False
148,2016,18,2016-04-16,observed,False
149,2016,19,2016-04-23,observed,False
150,2016,20,2016-04-30,observed,False
151,2016,21,2016-05-07,observed,False
152,2016,22,2016-05-14,observed,False
153,2016,23,2016-05-21,observed,False
154,2016,24,2016-05-28,observed,False
155,2016,25,2016-06-04,observed,False
156,2016,26,2016-06-11,observed,False
157,2016,27,2016-06-18,observed,False
158,2016,28,2016-06-25,observed,False
159,2016,29,2016-07-02,observed,False
160,2016,30,2016-07-09,observed,False
161,2016,31,2016-07-16,observed,False
162,2016,32,2016-07-23,observed,False
163,2016,33,2016-07-30,observed,False
164,2016,34,2016-08-06,observed,False
165,2016,35,2016-08-13,imputed,False
166,2016,36,2016-08-20,observed,False
167,2016,37,2016-08-27,observed,False
168,2016,38,2016-09-03,observed,False
169,2016,39,2016-09-10,observed,False
170,2016,40,2016-09-17,observed,False
171,2016,41,2016-09-24,observed,False
172,2016,42,2016-10-01,observed,False
173,2016,43,2016-10-08,observed,False
174,2016,44,2016-10-15,observed,False
175,2016,45,2016-10-22,observed,False
176,2016,46,2016-10-29,observed,False
177,2016,47,2016-11-05,observed,False
178,2016,48,2016-11-12,observed,False
179,2016,49,2016-11-19,observed,False
180,2016,50,2016-11-26,observed,False
181,2016,51,2016-12-03,observed,False
182,2016,52,2016-12-10,observed,False
183,2016,53,2016-12-17,observed,False
184,2017,1,2016-12-24,observed,False
185,2017,2,2016-12-31,observed,False
186,2017,3,2017-01-07,observed,False
187,2017,4,2017-01-14,observed,False
188,2017,5,2017-01-21,observed,False
189,2017,6,2017-01-28,observed,False
190,2017,7,2017-02-04,observed,False
191,2017,8,2017-02-11,observed,False
192,2017,9,2017-02-18,observed,False
193,2017,10,2017-02-25,observed,False
194,2017,11,2017-03-04,observed,False
195,2017,12,2017-03-11,observed,False
196,2017,13,2017-03-18,observed,False
197,2017,14,2017-03-25,observed,False
198,2017,15,2017-04-01,observed,False
199,2017,16,2017-04-08,observed,False
200,2017,17,2017-04-15,observed,False
201,2017,18,2017-04-22,observed,False
202,2017,19,2017-04-29,observed,False
203,2017,20,2017-05-06,observed,False
204,2017,21,2017-05-13,observed,False
205,2017,22,2017-05-20,observed,False
206,2017,23,2017-05-27,observed,False
207,2017,24,2017-06-03,observed,False
208,2017,25,2017-06-10,observed,False
209,2017,26,2017-05-17,observed,False
210,2017,27,2017-06-24,observed,False
211,2017,28,2017-07-01,observed,False
212,2017,29,2017-07-08,observed,False
213,2017,30,2017-07-15,observed,False
214,2017,31,2017-07-22,observed,False
215,2017,32,2017-07-29,observed,False
216,2017,33,2017-08-05,observed,False
217,2017,34,2017-08-12,observed,False
218,2017,35,2017-08-19,observed,False
219,2017,36,2017-08-26,observed,False
220,2017,37,2017-09-02,observed,False
221,2017,38,2017-09-09,observed,False
222,2017,39,2017-09-16,observed,False
223,2017,40,2017-09-23,observed,False
224,2017,41,2017-09-30,observed,False
225,2017,42,2017-10-07,observed,False
226,2017,43,2017-10-14,observed,False
227,2017,44,2017-10-21,observed,False
228,2017,45,2017-10-28,observed,False
229,2017,46,2017-11-04,observed,False
230,2017,47,2017-11-11,observed,False
231,2017,48,2017-11-18,observed,False
232,2017,49,2017-11-25,observed,False
233,2017,50,2017-12-02,observed,False
234,2017,51,2017-12-09,observed,False
235,2017,52,2017-12-16,observed,False
236,2018,1,2017-12-23,observed,False
237,2018,2,2017-12-30,observed,False
238,2018,3,2018-01-06,observed,False
239,2018,4,2018-01-13,observed,False
240,2018,5,2018-01-20,observed,False
241,2018,6,2018-01-27,observed,False
242,2018,7,2018-02-03,observed,False
243,2018,8,2018-02-10,observed,False
244,2018,9,2018-02-17,observed,False
245,2018,10,2018-02-24,observed,False
246,2018,11,2018-03-03,observed,False
247,2018,12,2018-03-10,observed,False
248,2018,13,2018-03-17,observed,False
249,2018,14,2018-03-24,observed,False
250,2018,15,2018-03-31,observed,False
251,2018,16,2018-04-07,observed,False
252,2018,17,2018-04-14,observed,False
253,2018,18,2018-04-21,observed,False
254,2018,19,2018-04-28,observed,False
255,2018,20,2018-05-05,observed,False
256,2018,21,2018-05-12,observed,False
257,2018,22,2018-05-19,observed,False
258,2018,23,2018-05-26,observed,False
259,2018,24,2018-06-02,observed,False
260,2018,25,2018-06-09,observed,False
261,2018,26,2018-06-16,observed,False
262,2018,27,2018-06-23,observed,False
263,2018,28,2018-06-30,observed,False
264,2018,29,2018-07-07,observed,False
265,2018,30,2018-07-14,observed,False
266,2018,31,2018-07-21,observed,False
267,2018,32,2018-07-28,observed,False
268,2018,33,2018-08-04,observed,False
269,2018,34,2018-08-11,observed,False
270,2018,35,2018-08-18,observed,False
271,2018,36,2018-08-25,observed,False
272,2018,37,2018-09-01,observed,False
273,2018,38,2018-09-08,observed,False
274,2018,39,2018-09-15,observed,False
275,2018,40,2018-09-22,observed,False
276,2018,41,2018-09-29,observed,False
277,2018,42,2018-10-06,observed,False
278,2018,43,2018-10-13,observed,False
279,2018,44,2018-10-20,observed,False
280,2018,45,2018-10-27,observed,False
281,2018,46,2018-11-03,observed,False
282,2018,47,2018-11-10,observed,False
283,2018,48,2018-11-17,observed,False
284,2018,49,2018-11-24,observed,False
285,2018,50,2018-12-01,observed,False
286,2018,51,2018-12-08,observed,False
287,2018,52,2018-12-15,observed,False
288,2019,1,2018-12-22,observed,False
289,2019,2,2018-12-29,observed,False
290,2019,3,2019-01-05,observed,False
291,2019,4,2019-01-12,observed,False
292,2019,5,2019-01-19,observed,False
293,2019,6,2019-01-26,observed,False
294,2019,7,2019-02-02,observed,False
295,2019,8,2019-02-09,observed,False
296,2019,9,2019-02-16,observed,False
297,2019,10,2019-01-26,observed,False
298,2019,11,2019-03-02,observed,False
299,2019,12,2019-03-09,observed,False
300,2019,13,2019-03-16,observed,False
301,2019,14,2019-03-23,observed,False
302,2019,15,2019-03-30,observed,False
303,2019,16,2019-04-06,observed,False
304,2019,17,2019-04-13,observed,False
305,2019,18,2019-04-20,observed,False
306,2019,19,2019-04-27,observed,False
307,2019,20,2019-05-04,observed,False
308,2019,21,2019-05-11,observed,False
309,2019,22,2019-05-18,observed,False
310,2019,23,2019-05-25,observed,False
311,2019,24,2019-06-01,observed,False
312,2019,25,2019-06-08,observed,False
313,2019,26,2019-06-15,observed,False
314,2019,27,2019-06-22,observed,False
315,2019,28,2019-06-29,observed,False
316,2019,29,2019-07-06,observed,False
317,2019,30,2019-07-13,observed,False
318,2019,31,2019-07-20,observed,False
319,2019,32,2019-07-27,observed,False
320,2019,33,2019-08-03,observed,False
321,2019,34,2019-08-10,observed,False
322,2019,35,2019-08-17,observed,False
323,2019,36,2019-08-24,observed,False
324,2019,37,2019-08-31,observed,False
325,2019,38,2019-09-07,observed,False
326,2019,39,2019-09-14,observed,False
327,2019,40,2019-09-21,observed,False
328,2019,41,2019-09-28,observed,False
329,2019,42,2019-10-05,observed,False
330,2019,43,2019-10-12,observed,False
331,2019,44,2019-10-19,observed,False
332,2019,45,2019-10-26,observed,False
333,2019,46,2019-11-02,observed,False
334,2019,47,2019-11-09,observed,False
