row,original_row,year,week_no,week_start,status,is_artifact
0,51,2013,26,2013-05-15,observed,False
1,52,2013,27,2013-06-22,observed,False
2,53,2013,28,2013-06-29,observed,False
3,55,2013,30,2013-07-13,observed,False
4,56,2013,31,2013-07-20,observed,False
5,57,2013,32,2013-07-27,observed,False
6,58,2013,33,2013-08-03,observed,False
7,59,2013,34,2013-08-10,observed,False
8,60,2013,35,2013-08-17,observed,False
9,61,2013,36,2013-08-24,observed,False
10,62,2013,37,2013-08-31,observed,False
11,63,2013,38,2013-09-07,observed,False
12,64,2013,39,2013-09-14,observed,False
13,65,2013,40,2013-09-21,observed,False
14,66,2013,41,2013-09-28,observed,False
15,67,2013,42,2013-10-05,observed,False
16,68,2013,43,2013-10-12,observed,False
17,69,2013,44,2013-10-19,observed,False
18,70,2013,45,2013-10-26,observed,False
19,71,2013,46,2013-11-02,observed,False
20,72,2013,47,2013-11-09,observed,False
21,73,2013,48,2013-11-16,observed,False
22,74,2013,50,2013-11-30,observed,False
23,75,2013,51,2013-12-07,observed,False
24,76,2013,52,2013-12-14,observed,False
25,77,2014,4,2014-01-11,observed,False
26,78,2014,8,2014-02-08,observed,False
27,79,2014,12,2014-03-08,observed,False
28,80,2014,17,2014-04-12,observed,False
29,81,2014,19,2014-04-26,observed,False
30,82,2014,20,2014-05-03,observed,False
31,83,2014,22,2014-05-17,observed,False
32,84,2014,28,2014-06-28,observed,False
33,85,2014,29,2014-07-05,observed,False
34,86,2014,32,2014-07-26,observed,False
35,87,2014,36,2014-08-23,observed,False
36,88,2014,37,2014-08-30,observed,False
37,89,2014,42,2014-10-04,observed,False
38,90,2014,43,2014-10-11,observed,False
39,91,2014,44,2014-10-18,observed,False
40,92,2014,45,2014-10-25,observed,False
41,93,2014,46,2014-11-01,observed,False
42,94,2014,47,2014-11-08,observed,False
43,95,2014,48,2014-11-15,observed,False
44,96,2014,49,2014-11-22,observed,False
45,97,2014,50,2014-11-29,observed,False
46,98,2014,51,2014-12-06,observed,False
47,99,2014,52,2014-12-13,observed,False
48,100,2015,1,2014-12-20,observed,False
49,101,2015,2,2013-12-27,observed,False
50,102,2015,3,2015-01-03,observed,False
51,103,2015,5,2015-01-17,observed,False
52,104,2015,6,2015-01-24,observed,False
53,105,2015,7,2015-01-31,observed,False
54,106,2015,8,2015-02-07,observed,False
55,107,2015,9,2015-02-14,observed,False
56,108,2015,10,2015-02-21,observed,False
57,109,2015,11,2015-02-28,observed,False
58,110,2015,12,2015-03-07,observed,False
59,111,2015,13,2015-03-14,observed,False
60,112,2015,14,2015-03-21,observed,False
61,113,2015,15,2015-03-28,observed,False
62,114,2015,16,2015-04-04,observed,False
63,115,2015,17,2015-04-11,observed,False
64,116,2015,18,2015-04-18,observed,False
65,117,2015,19,2015-04-25,observed,False
66,118,2015,20,2015-05-02,observed,False
67,119,2015,21,2015-05-09,observed,False
68,120,2015,22,2015-05-16,observed,False
69,121,2015,23,2015-05-23,observed,False
70,122,2015,24,2015-05-30,observed,False
71,123,2015,25,2015-06-06,observed,False
72,124,2015,27,2015-06-20,observed,False
73,125,2015,28,2015-06-27,observed,False
74,126,2015,29,2015-07-04,observed,False
75,127,2015,30,2015-07-11,observed,False
76,128,2015,33,2015-08-01,observed,False
77,129,2015,34,2015-08-08,observed,False
78,130,2015,35,2015-08-15,observed,False
79,131,2015,36,2015-08-22,observed,False
80,132,2015,37,2015-08-29,observed,False
81,133,2015,38,2015-09-05,observed,False
82,134,2015,39,2015-09-12,observed,False
83,135,2015,40,2015-09-19,observed,False
84,136,2015,41,2015-09-26,observed,False
85,137,2015,42,2015-10-03,observed,False
86,138,2015,43,2015-10-10,observed,False
87,139,2015,44,2015-10-17,observed,False
88,140,2015,46,2015-10-31,observed,False
89,141,2015,47,2015-11-07,observed,False
90,142,2015,48,2015-11-14,observed,False
91,143,2015,49,2015-11-21,observed,False
92,144,2015,51,2015-12-05,observed,False
93,145,2015,52,2015-12-12,observed,False
94,146,2016,1,2015-12-19,observed,False
95,147,2016,2,2015-12-26,observed,False
96,148,2016,6,2016-01-23,observed,False
97,149,2016,7,2016-01-30,observed,False
98,150,2016,8,2016-02-06,observed,False
99,151,2016,9,2016-02-13,observed,False
100,152,2016,10,2016-02-20,observed,False
101,153,2016,11,2016-02-27,observed,False
102,154,2016,12,2016-03-05,observed,False
103,155,2016,13,2016-03-12,observed,False
104,156,2016,14,2016-03-19,observed,False
105,157,2016,15,2016-03-26,observed,False
106,158,2016,16,2016-04-02,observed,False
107,159,2016,17,2016-04-09,observed,False
108,160,2016,18,2016-04-16,observed,False
109,161,2016,19,2016-04-23,observed,False
110,162,2016,20,2016-04-30,observed,False
111,163,2016,22,2016-05-14,observed,False
112,164,2016,23,2016-05-21,observed,False
113,165,2016,24,2016-05-28,observed,False
114,166,2016,25,2016-06-04,observed,False
115,167,2016,26,2016-06-11,observed,False
116,168,2016,27,2016-06-18,observed,False
117,169,2016,28,2016-06-25,observed,False
118,170,2016,29,2016-07-02,observed,False
119,171,2016,30,2016-07-09,observed,False
120,172,2016,31,2016-07-16,observed,False
121,173,2016,32,2016-07-23,observed,False
122,174,2016,33,2016-07-30,observed,False
123,175,2016,36,2016-08-20,observed,False
124,176,2016,37,2016-08-27,observed,False
125,177,2016,38,2016-09-03,observed,False
126,178,2016,39,2016-09-10,observed,False
127,179,2016,40,2016-09-17,observed,False
128,180,2016,41,2016-09-24,observed,False
129,181,2016,42,2016-10-01,observed,False
130,182,2016,43,2016-10-08,observed,False
131,183,2016,44,2016-10-15,observed,False
132,184,2016,45,2016-10-22,observed,False
133,185,2016,46,2016-10-29,observed,False
134,186,2016,47,2016-11-05,observed,False
135,187,2016,48,2016-11-12,observed,False
136,188,2016,49,2016-11-19,observed,False
137,189,2016,50,2016-11-26,observed,False
138,190,2016,51,2016-12-03,observed,False
139,191,2016,52,2016-12-10,observed,False
140,192,2016,53,2016-12-17,observed,False
141,193,2017,1,2016-12-24,observed,False
142,194,2017,2,2016-12-31,observed,False
143,195,2017,3,2017-01-07,observed,False
144,196,2017,4,2017-01-14,observed,False
145,197,2017,5,2017-01-21,observed,False
146,198,2017,6,2017-01-28,observed,False
147,199,2017,7,2017-02-04,observed,False
148,200,2017,8,2017-02-11,observed,False
149,201,2017,9,2017-02-18,observed,False
150,202,2017,10,2017-02-25,observed,False
151,203,2017,11,2017-03-04,observed,False
152,204,2017,12,2017-03-11,observed,False
153,205,2017,14,2017-03-25,observed,False
154,206,2017,15,2017-04-01,observed,False
155,207,2017,16,2017-04-08,observed,False
156,208,2017,17,2017-04-15,observed,False
157,209,2017,18,2017-04-22,observed,False
158,210,2017,19,2017-04-29,observed,False
159,211,2017,20,2017-05-06,observed,False
160,212,2017,21,2017-05-13,observed,False
161,213,2017,22,2017-05-20,observed,False
162,214,2017,23,2017-05-27,observed,False
163,215,2017,24,2017-06-03,observed,False
164,216,2017,25,2017-06-10,observed,False
165,217,2017,26,2017-05-17,observed,False
166,218,2017,27,2017-06-24,observed,False
167,219,2017,28,2017-07-01,observed,False
168,220,2017,29,2017-07-08,observed,False
169,221,2017,30,2017-07-15,observed,False
170,222,2017,31,2017-07-22,observed,False
171,223,2017,32,2017-07-29,observed,False
172,224,2017,33,2017-08-05,observed,False
173,225,2017,34,2017-08-12,observed,False
174,226,2017,35,2017-08-19,observed,False
175,227,2017,36,2017-08-26,observed,False
176,228,2017,37,2017-09-02,observed,False
177,229,2017,38,2017-09-09,observed,False
178,230,2017,39,2017-09-16,observed,False
179,231,2017,40,2017-09-23,observed,False
180,232,2017,41,2017-09-30,observed,False
181,233,2017,42,2017-10-07,observed,False
182,234,2017,43,2017-10-14,observed,False
183,235,2017,44,2017-10-21,observed,False
184,236,2017,45,2017-10-28,observed,False
185,237,2017,46,2017-11-04,observed,False
186,238,2017,47,2017-11-11,observed,False
187,239,2017,48,2017-11-18,observed,False
188,240,2017,49,2017-11-25,observed,False
189,241,2017,50,2017-12-02,observed,False
190,242,2017,51,2017-12-09,observed,False
191,243,2017,52,2017-12-16,observed,False
192,244,2018,1,2017-12-23,observed,False
193,245,2018,5,2018-01-20,observed,False
194,246,2018,6,2018-01-27,observed,False
195,247,2018,7,2018-02-03,observed,False
196,248,2018,8,2018-02-10,observed,False
197,249,2018,9,2018-02-17,observed,False
198,250,2018,10,2018-02-24,observed,False
199,251,2018,11,2018-03-03,observed,False
200,252,2018,12,2018-03-10,observed,False
201,253,2018,13,2018-03-17,observed,False
202,254,2018,14,2018-03-24,observed,False
203,255,2018,15,2018-03-31,observed,False
204,256,2018,16,2018-04-07,observed,False
205,257,2018,17,2018-04-14,observed,False
206,258,2018,18,2018-04-21,observed,False
207,259,2018,19,2018-04-28,observed,False
208,260,2018,20,2018-05-05,observed,False
209,261,2018,21,2018-05-12,observed,False
210,262,2018,22,2018-05-19,observed,False
211,263,2018,23,2018-05-26,observed,False
212,264,2018,24,2018-06-02,observed,False
213,265,2018,25,2018-06-09,observed,False
214,266,2018,26,2018-06-16,observed,False
215,267,2018,27,2018-06-23,observed,False
216,268,2018,28,2018-06-30,observed,False
217,269,2018,29,2018-07-07,observed,False
218,270,2018,30,2018-07-14,observed,False
219,271,2018,31,2018-07-21,observed,False
220,272,2018,32,2018-07-28,observed,False
221,273,2018,33,2018-08-04,observed,False
222,274,2018,34,2018-08-11,observed,False
223,275,2018,35,2018-08-18,observed,False
224,276,2018,36,2018-08-25,observed,False
225,277,2018,37,2018-09-01,observed,False
226,278,2018,38,2018-09-08,observed,False
227,279,2018,39,2018-09-15,observed,False
228,280,2018,40,2018-09-22,observed,False
229,281,2018,41,2018-09-29,observed,False
230,282,2018,42,2018-10-06,observed,False
231,283,2018,43,2018-10-13,observed,False
232,284,2018,44,2018-10-20,observed,False
233,285,2018,46,2018-11-03,observed,False
234,286,2018,47,2018-11-10,observed,False
235,287,2018,48,2018-11-17,observed,False
236,288,2018,49,2018-11-24,observed,False
237,289,2018,50,2018-12-01,observed,False
238,290,2018,51,2018-12-08,observed,False
239,291,2018,52,2018-12-15,observed,False
240,292,2019,1,2018-12-22,observed,False
