array_week,report_week_start,abs_diff,runner_up_diff,national_cases,source_report,days_since_previous_row,report_volume,report_number,report_year
0,2022-12-24,0.0,207.0,540.0,en_640feff0076ea_Vol_50_no_01-english.pdf,,50,1,2023
1,2021-12-31,0.0,244.0,1265.0,en_64100cf21b53d_Vol_50_no_02-english_1.pdf,-358.0,50,2,2023
2,2023-01-07,0.0,385.0,1504.0,en_64100fae82b04_Vol_50_no_03-english.pdf,372.0,50,3,2023
3,2023-01-14,0.0,244.0,1327.0,en_64100ff0b2b95_Vol_50_no_04-english_1.pdf,7.0,50,4,2023
4,2023-01-21,0.0,260.0,1242.0,en_6410103be192c_Vol_50_no_05-english.pdf,7.0,50,5,2023
5,2023-01-28,0.0,315.0,1255.0,en_641010795ce55_Vol_50_no_06-english.pdf,7.0,50,6,2023
6,2023-02-04,0.0,260.0,1202.0,en_641010b06da65_Vol_50_no_07-english.pdf,7.0,50,7,2023
7,2023-02-11,0.0,282.0,1029.0,en_641010deea21b_Vol_50_no_08-english.pdf,7.0,50,8,2023
8,2023-02-18,0.0,291.0,1103.0,en_641011177e0c3_Vol_50_no_09-english_1.pdf,7.0,50,9,2023
9,2023-02-25,0.0,281.0,1129.0,en_64251491ca316_Vol_50_no_10-english.pdf,7.0,50,10,2023
10,2023-03-04,0.0,244.0,1024.0,en_642516aa215e1_Vol_50_no_11-english.pdf,7.0,50,11,2023
11,2023-03-11,0.0,235.0,927.0,en_642a655f53f67_Vol_50_no_12-english.pdf,7.0,50,12,2023
12,2023-03-18,0.0,244.0,1110.0,en_6451e6375bec8_Vol_50_no_13-english_2.pdf,7.0,50,13,2023
13,2023-03-25,0.0,302.0,1170.0,en_6450920810c68_Vol_50_no_14-english_1.pdf,7.0,50,14,2023
14,2023-04-01,0.0,302.0,990.0,en_6450923441161_Vol_50_no_15-english_1.pdf,7.0,50,15,2023
15,2023-04-08,0.0,192.0,1154.0,en_6450a83ec365f_Vol_50_no_16-english.pdf,7.0,50,16,2023
16,2023-04-15,0.0,433.0,1373.0,en_647d696889d75_Vol_50_no_17-english_2.pdf,7.0,50,17,2023
17,2023-04-22,0.0,336.0,1162.0,en_6462f8356b93c_Vol_50_no_18-english.pdf,7.0,50,18,2023
18,2023-04-29,0.0,192.0,1174.0,en_647d69972f0bb_Vol_50_no_19-english_1.pdf,7.0,50,19,2023
19,2023-05-06,0.0,396.0,1602.0,en_647d69c44d4cb_Vol_50_no_20-english_1.pdf,7.0,50,20,2023
20,2023-05-13,0.0,396.0,1414.0,en_64869d494b29c_Vol_50_no_21-english_1.pdf,7.0,50,21,2023
21,2023-05-20,0.0,424.0,1552.0,en_64912ab8a22d8_Vol_50_no_22-english_1.pdf,7.0,50,22,2023
22,2023-05-27,0.0,429.0,2238.0,en_64912b0a89f59_Vol_50_no_23-english_1.pdf,7.0,50,23,2023
23,2023-06-03,0.0,362.0,2135.0,en_64ab8e17d4370_Vol_50_no_24-english_1.pdf,7.0,50,24,2023
24,2023-06-10,0.0,435.0,2498.0,en_64b4bcc21a358_Vol_50_no_25-english_1.pdf,7.0,50,25,2023
25,2023-06-17,0.0,362.0,2115.0,en_64b4cbff23f46_Vol_50_no_26-english_2.pdf,7.0,50,26,2023
26,2023-06-24,0.0,265.0,1723.0,en_64c772c1952be_Vol_50_no_27-english_1.pdf,7.0,50,27,2023
27,2023-07-01,0.0,278.0,1789.0,en_64c773234ebd6_Vol_50_no_28-english_1.pdf,7.0,50,28,2023
28,2023-07-08,0.0,265.0,1692.0,en_64c78901a4223_Vol_50_no_29-english_1.pdf,7.0,50,29,2023
29,2023-07-15,0.0,222.0,1526.0,en_65c256e1a3188_Vol_50_no_30-english.pdf,7.0,50,30,2023
30,2023-07-22,0.0,172.0,1480.0,en_6592fa2472186_Vol_50_no_31-english.pdf,7.0,50,31,2023
31,2023-07-29,0.0,172.0,1406.0,en_6592f8ce36f5c_Vol_50_no_32-english.pdf,7.0,50,32,2023
32,2023-08-05,0.0,285.0,1517.0,en_6592f77ef271b_Vol_50_no_33-english.pdf,7.0,50,33,2023
33,2023-08-12,0.0,241.0,1146.0,en_6592f6eec67ef_Vol_50_no_34-english.pdf,7.0,50,34,2023
34,2023-08-19,0.0,241.0,1209.0,en_6507d4a364766_Vol_50_no_35-english_1.pdf,7.0,50,35,2023
35,2023-08-26,0.0,244.0,852.0,en_6509214a67f69_Vol_50_no_36-english.pdf,7.0,50,36,2023
36,2023-09-02,0.0,238.0,832.0,en_65125ac74566c_Vol_50_no_37-english.pdf,7.0,50,37,2023
37,2023-09-09,0.0,138.0,698.0,en_658bfd691ab24_Vol_50_no_38-english.pdf,7.0,50,38,2023
38,2023-09-16,0.0,138.0,620.0,en_658bfd0d99fc6_Vol_50_no_39-english.pdf,7.0,50,39,2023
39,2023-09-23,0.0,164.0,480.0,en_658bfcac2f526_Vol_50_no_40-english.pdf,7.0,50,40,2023
40,2023-08-31,0.0,182.0,724.0,en_658bfc0e47143_Vol_50_no_41-english.pdf,-23.0,50,41,2023
41,2023-10-07,0.0,282.0,858.0,en_658bfb119b032_Vol_50_no_42-english.pdf,37.0,50,42,2023
42,2023-10-14,0.0,293.0,759.0,en_658bfaa1cb3bf_Vol_50_no_43-english.pdf,7.0,50,43,2023
43,2023-10-21,0.0,558.0,1295.0,en_658bfa11e502e_Vol_50_no_44-english.pdf,7.0,50,44,2023
44,2023-10-28,0.0,401.0,1227.0,en_658bf999350ba_Vol_50_no_45-english.pdf,7.0,50,45,2023
45,2023-11-04,0.0,156.0,365.0,en_6586cba6eaffd_Vol_50_no_46-english.pdf,7.0,50,46,2023
46,2023-11-11,0.0,214.0,656.0,en_6597d07b07eb4_Vol_50_no_47-english.pdf,7.0,50,47,2023
47,2023-11-18,0.0,214.0,726.0,en_65851ecfb2759_Vol_50_no_48-english.pdf,7.0,50,48,2023
48,2015-05-30,103.0,110.0,317.0,vol_42_no_24-english.pdf,-3094.0,42,24,2015
49,2013-08-31,119.0,151.0,401.0,vol_40_no_37_english.pdf,-637.0,40,37,2013
50,2013-08-24,151.0,161.0,467.0,vol_40_no_36_english.pdf,-7.0,40,36,2013
51,2013-05-15,0.0,123.0,373.0,vol_40_no_26_english.pdf,-101.0,40,26,2013
52,2013-06-22,0.0,128.0,549.0,vol_40_no_27_english.pdf,38.0,40,27,2013
53,2013-06-29,0.0,128.0,637.0,vol_40_no_28_english.pdf,7.0,40,28,2013
54,2013-06-22,139.0,145.0,588.0,vol_40_no_27_english.pdf,-7.0,40,27,2013
55,2013-07-13,0.0,112.0,504.0,vol_40_no_30_english.pdf,21.0,40,30,2013
56,2013-07-20,0.0,162.0,686.0,vol_40_no_31_english.pdf,7.0,40,31,2013
57,2013-07-27,0.0,133.0,477.0,vol_40_no_32_english.pdf,7.0,40,32,2013
58,2013-08-03,0.0,112.0,478.0,vol_40_no_33_english.pdf,7.0,40,33,2013
59,2013-08-10,0.0,145.0,506.0,vol_40_no_34_english.pdf,7.0,40,34,2013
60,2013-08-17,0.0,115.0,473.0,vol_40_no_35_english.pdf,7.0,40,35,2013
61,2013-08-24,0.0,133.0,438.0,vol_40_no_36_english.pdf,7.0,40,36,2013
62,2013-08-31,0.0,102.0,406.0,vol_40_no_37_english.pdf,7.0,40,37,2013
63,2013-09-07,0.0,110.0,312.0,vol_40_no_38_english.pdf,7.0,40,38,2013
64,2013-09-14,0.0,83.0,338.0,vol_40_no_39_english.pdf,7.0,40,39,2013
65,2013-09-21,0.0,88.0,362.0,vol_40_no_40_english.pdf,7.0,40,40,2013
66,2013-09-28,0.0,88.0,310.0,vol_40_no_41_english.pdf,7.0,40,41,2013
67,2013-10-05,0.0,76.0,230.0,vol_40_no_42_english.pdf,7.0,40,42,2013
