district,population_2012,male,female,pdf_page,source_url
Ampara,649402,314352,335050,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Ampara.pdf
Anuradhapura,860575,420100,440475,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Anuradhapura/A1.pdf
Badulla,815405,391948,423457,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Badulla.pdf
Batticaloa,526567,250676,275891,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Baticaloa.pdf
Colombo,2324349,1140472,1183877,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Colombo.pdf
Galle,1063334,509902,553432,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Galle.pdf
Gampaha,2304833,1116893,1187940,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Gampaha.pdf
Hambantota,599903,294736,305167,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Hambantota.pdf
Jaffna,583882,274173,309709,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Jaffna.pdf
Kalutara,1221948,591284,630664,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Kalutara.pdf
Kandy,1375382,655791,719591,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Kandy.pdf
Kegalle,840648,400820,439828,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Kegalle.pdf
Kilinochchi,113510,55783,57727,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Kilinochchi.pdf
Kurunegala,1618465,777201,841264,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Kurunegala.pdf
Mannar,99570,50053,49517,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Mannar.pdf
Matale,484531,233657,250874,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Matale.pdf
Matara,814048,389903,424145,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Matara.pdf
Moneragala,451058,224168,226890,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Monaragala/A1.pdf
Mullaitivu,92238,46036,46202,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Mullaitivu.pdf
NuwaraEliya,711644,340347,371297,5,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/NuwaraEliya.pdf
Polonnaruwa,406088,200780,205308,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Polonnaruwa/A1.pdf
Puttalam,762396,368971,393425,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Puttalam.pdf
Ratnapura,1088007,536401,551606,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Ratnapura.pdf
Trincomalee,379541,187472,192069,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Trincomalee.pdf
Vavuniya,172115,84715,87400,1,http://www.statistics.gov.lk/pophousat/cph2011/Pages/Activities/Reports/District/Vavuniya.pdf
