row,week_start,stringency_index,stringency_max,stringency_days,mobility_retail_recreation,mobility_grocery_pharmacy,mobility_parks,mobility_transit,mobility_workplaces,mobility_residential,mobility_days
0,2013-05-15,,,0,,,,,,,0
1,2013-06-22,,,0,,,,,,,0
2,2013-06-29,,,0,,,,,,,0
3,2013-07-06,,,0,,,,,,,0
4,2013-07-13,,,0,,,,,,,0
5,2013-07-20,,,0,,,,,,,0
6,2013-07-27,,,0,,,,,,,0
7,2013-08-03,,,0,,,,,,,0
8,2013-08-10,,,0,,,,,,,0
9,2013-08-17,,,0,,,,,,,0
10,2013-08-24,,,0,,,,,,,0
11,2013-08-31,,,0,,,,,,,0
12,2013-09-07,,,0,,,,,,,0
13,2013-09-14,,,0,,,,,,,0
14,2013-09-21,,,0,,,,,,,0
15,2013-09-28,,,0,,,,,,,0
16,2013-10-05,,,0,,,,,,,0
17,2013-10-12,,,0,,,,,,,0
18,2013-10-19,,,0,,,,,,,0
19,2013-10-26,,,0,,,,,,,0
20,2013-11-02,,,0,,,,,,,0
21,2013-11-09,,,0,,,,,,,0
22,2013-11-16,,,0,,,,,,,0
23,2013-11-23,,,0,,,,,,,0
24,2013-11-30,,,0,,,,,,,0
25,2013-12-07,,,0,,,,,,,0
26,2013-12-14,,,0,,,,,,,0
27,2013-12-21,,,0,,,,,,,0
28,2013-12-28,,,0,,,,,,,0
29,2014-01-04,,,0,,,,,,,0
30,2014-01-11,,,0,,,,,,,0
31,2014-01-18,,,0,,,,,,,0
32,2014-01-25,,,0,,,,,,,0
33,2014-02-01,,,0,,,,,,,0
34,2014-02-08,,,0,,,,,,,0
35,2014-02-15,,,0,,,,,,,0
36,2014-02-22,,,0,,,,,,,0
37,2014-03-01,,,0,,,,,,,0
38,2014-03-08,,,0,,,,,,,0
39,2014-03-15,,,0,,,,,,,0
40,2014-03-22,,,0,,,,,,,0
41,2014-03-29,,,0,,,,,,,0
42,2014-04-05,,,0,,,,,,,0
43,2014-04-12,,,0,,,,,,,0
44,2014-04-19,,,0,,,,,,,0
45,2014-04-26,,,0,,,,,,,0
46,2014-05-03,,,0,,,,,,,0
47,2014-05-10,,,0,,,,,,,0
48,2014-05-17,,,0,,,,,,,0
49,2014-05-24,,,0,,,,,,,0
50,2014-05-31,,,0,,,,,,,0
51,2014-06-07,,,0,,,,,,,0
52,2014-06-14,,,0,,,,,,,0
53,2014-06-21,,,0,,,,,,,0
54,2014-06-28,,,0,,,,,,,0
55,2014-07-05,,,0,,,,,,,0
56,2014-07-12,,,0,,,,,,,0
57,2014-07-19,,,0,,,,,,,0
58,2014-07-26,,,0,,,,,,,0
59,2014-08-02,,,0,,,,,,,0
60,2014-08-09,,,0,,,,,,,0
61,2014-08-16,,,0,,,,,,,0
62,2014-08-23,,,0,,,,,,,0
63,2014-08-30,,,0,,,,,,,0
64,2014-09-06,,,0,,,,,,,0
65,2014-09-13,,,0,,,,,,,0
66,2014-09-20,,,0,,,,,,,0
67,2014-09-27,,,0,,,,,,,0
68,2014-10-04,,,0,,,,,,,0
69,2014-10-11,,,0,,,,,,,0
70,2014-10-18,,,0,,,,,,,0
71,2014-10-25,,,0,,,,,,,0
72,2014-11-01,,,0,,,,,,,0
73,2014-11-08,,,0,,,,,,,0
74,2014-11-15,,,0,,,,,,,0
75,2014-11-22,,,0,,,,,,,0
76,2014-11-29,,,0,,,,,,,0
77,2014-12-06,,,0,,,,,,,0
78,2014-12-13,,,0,,,,,,,0
79,2014-12-20,,,0,,,,,,,0
80,2014-12-27,,,0,,,,,,,0
81,2015-01-03,,,0,,,,,,,0
82,2015-01-10,,,0,,,,,,,0
83,2015-01-17,,,0,,,,,,,0
84,2015-01-24,,,0,,,,,,,0
85,2015-01-31,,,0,,,,,,,0
86,2015-02-07,,,0,,,,,,,0
87,2015-02-14,,,0,,,,,,,0
88,2015-02-21,,,0,,,,,,,0
89,2015-02-28,,,0,,,,,,,0
90,2015-03-07,,,0,,,,,,,0
91,2015-03-14,,,0,,,,,,,0
92,2015-03-21,,,0,,,,,,,0
93,2015-03-28,,,0,,,,,,,0
94,2015-04-04,,,0,,,,,,,0
95,2015-04-11,,,0,,,,,,,0
96,2015-04-18,,,0,,,,,,,0
97,2015-04-25,,,0,,,,,,,0
98,2015-05-02,,,0,,,,,,,0
99,2015-05-09,,,0,,,,,,,0
100,2015-05-16,,,0,,,,,,,0
101,2015-05-23,,,0,,,,,,,0
102,2015-05-30,,,0,,,,,,,0
103,2015-06-06,,,0,,,,,,,0
104,2015-06-13,,,0,,,,,,,0
105,2015-06-20,,,0,,,,,,,0
106,2015-06-27,,,0,,,,,,,0
107,2015-07-04,,,0,,,,,,,0
108,2015-07-11,,,0,,,,,,,0
109,2015-07-18,,,0,,,,,,,0
110,2015-07-25,,,0,,,,,,,0
111,2015-08-01,,,0,,,,,,,0
112,2015-08-08,,,0,,,,,,,0
113,2015-08-15,,,0,,,,,,,0
114,2015-08-22,,,0,,,,,,,0
115,2015-08-29,,,0,,,,,,,0
116,2015-09-05,,,0,,,,,,,0
117,2015-09-12,,,0,,,,,,,0
118,2015-09-19,,,0,,,,,,,0
119,2015-09-26,,,0,,,,,,,0
120,2015-10-03,,,0,,,,,,,0
121,2015-10-10,,,0,,,,,,,0
122,2015-10-17,,,0,,,,,,,0
123,2015-10-24,,,0,,,,,,,0
124,2015-10-31,,,0,,,,,,,0
125,2015-11-07,,,0,,,,,,,0
126,2015-11-14,,,0,,,,,,,0
127,2015-11-21,,,0,,,,,,,0
128,2015-11-28,,,0,,,,,,,0
129,2015-12-05,,,0,,,,,,,0
130,2015-12-12,,,0,,,,,,,0
131,2015-12-19,,,0,,,,,,,0
132,2015-12-26,,,0,,,,,,,0
133,2016-01-02,,,0,,,,,,,0
134,2016-01-09,,,0,,,,,,,0
135,2016-01-16,,,0,,,,,,,0
136,2016-01-23,,,0,,,,,,,0
137,2016-01-30,,,0,,,,,,,0
138,2016-02-06,,,0,,,,,,,0
139,2016-02-13,,,0,,,,,,,0
140,2016-02-20,,,0,,,,,,,0
141,2016-02-27,,,0,,,,,,,0
142,2016-03-05,,,0,,,,,,,0
143,2016-03-12,,,0,,,,,,,0
144,2016-03-19,,,0,,,,,,,0
145,2016-03-26,,,0,,,,,,,0
146,2016-04-02,,,0,,,,,,,0
147,2016-04-09,,,0,,,,,,,0
148,2016-04-16,,,0,,,,,,,0
149,2016-04-23,,,0,,,,,,,0
150,2016-04-30,,,0,,,,,,,0
151,2016-05-07,,,0,,,,,,,0
152,2016-05-14,,,0,,,,,,,0
153,2016-05-21,,,0,,,,,,,0
154,2016-05-28,,,0,,,,,,,0
155,2016-06-04,,,0,,,,,,,0
156,2016-06-11,,,0,,,,,,,0
157,2016-06-18,,,0,,,,,,,0
158,2016-06-25,,,0,,,,,,,0
159,2016-07-02,,,0,,,,,,,0
160,2016-07-09,,,0,,,,,,,0
161,2016-07-16,,,0,,,,,,,0
162,2016-07-23,,,0,,,,,,,0
163,2016-07-30,,,0,,,,,,,0
164,2016-08-06,,,0,,,,,,,0
165,2016-08-13,,,0,,,,,,,0
166,2016-08-20,,,0,,,,,,,0
167,2016-08-27,,,0,,,,,,,0
168,2016-09-03,,,0,,,,,,,0
169,2016-09-10,,,0,,,,,,,0
170,2016-09-17,,,0,,,,,,,0
171,2016-09-24,,,0,,,,,,,0
172,2016-10-01,,,0,,,,,,,0
173,2016-10-08,,,0,,,,,,,0
174,2016-10-15,,,0,,,,,,,0
175,2016-10-22,,,0,,,,,,,0
176,2016-10-29,,,0,,,,,,,0
177,2016-11-05,,,0,,,,,,,0
178,2016-11-12,,,0,,,,,,,0
179,2016-11-19,,,0,,,,,,,0
180,2016-11-26,,,0,,,,,,,0
181,2016-12-03,,,0,,,,,,,0
182,2016-12-10,,,0,,,,,,,0
183,2016-12-17,,,0,,,,,,,0
184,2016-12-24,,,0,,,,,,,0
185,2016-12-31,,,0,,,,,,,0
186,2017-01-07,,,0,,,,,,,0
187,2017-01-14,,,0,,,,,,,0
188,2017-01-21,,,0,,,,,,,0
189,2017-01-28,,,0,,,,,,,0
190,2017-02-04,,,0,,,,,,,0
191,2017-02-11,,,0,,,,,,,0
192,2017-02-18,,,0,,,,,,,0
193,2017-02-25,,,0,,,,,,,0
194,2017-03-04,,,0,,,,,,,0
195,2017-03-11,,,0,,,,,,,0
196,2017-03-18,,,0,,,,,,,0
197,2017-03-25,,,0,,,,,,,0
198,2017-04-01,,,0,,,,,,,0
199,2017-04-08,,,0,,,,,,,0
200,2017-04-15,,,0,,,,,,,0
201,2017-04-22,,,0,,,,,,,0
202,2017-04-29,,,0,,,,,,,0
203,2017-05-06,,,0,,,,,,,0
204,2017-05-13,,,0,,,,,,,0
205,2017-05-20,,,0,,,,,,,0
206,2017-05-27,,,0,,,,,,,0
207,2017-06-03,,,0,,,,,,,0
208,2017-06-10,,,0,,,,,,,0
209,2017-05-17,,,0,,,,,,,0
210,2017-06-24,,,0,,,,,,,0
211,2017-07-01,,,0,,,,,,,0
212,2017-07-08,,,0,,,,,,,0
213,2017-07-15,,,0,,,,,,,0
214,2017-07-22,,,0,,,,,,,0
