district,census_2012,over60_2012,projection_2013,gn_divisions,over60_share_2012,source
Ampara,648057,51796,658932,503,0.07992506831960769,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Anuradhapura,856004,75979,866970,694,0.08876009925187266,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Badulla,811908,92197,818903,567,0.11355596939554728,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Batticaloa,525039,38883,532919,346,0.07405735573928794,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Colombo,2309199,308212,2333448,557,0.13347138986289186,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Galle,1058492,153779,1067793,895,0.14528121138374214,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Gampaha,2296341,290243,2334693,1177,0.126393684561657,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Hambantota,598025,69437,604723,576,0.11611053049621671,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Jaffna,583371,83675,579057,435,0.14343359543069506,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Kalutara,1217374,170099,1232589,762,0.13972616467905508,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Kandy,1369857,181938,1382319,1188,0.13281532305926824,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Kegalle,837695,123746,843396,573,0.14772202293197403,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Kilinochchi,112875,9827,113666,95,0.0870609080841639,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Kurunegala,1609916,204865,1625221,1610,0.12725198084869024,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Mannar,98893,7826,98691,153,0.07913603591760791,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Matale,482166,57823,487031,545,0.11992342886059988,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Matara,809610,117805,815698,650,0.14550833117179876,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Moneragala,448543,40740,455891,319,0.09082741231052541,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Mullaitivu,92143,7648,92798,136,0.08300142170322217,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
NuwaraEliya,706550,82923,710862,491,0.11736324393178119,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Polonnaruwa,403437,38565,409479,295,0.0955911331880814,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Puttalam,759720,77314,770739,548,0.10176644026746696,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Ratnapura,1081664,137604,1093130,575,0.12721510561505237,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Trincomalee,377978,28208,382930,230,0.07462868209260856,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
Vavuniya,171506,14529,174887,102,0.08471423740277308,DCS Census 2012 via HDX (WFP/OCHA); projection_2013 from census growth rates
