district,year,population_thousands,provisional
Ampara,2014,666,False
Anuradhapura,2014,886,False
Badulla,2014,836,False
Batticaloa,2014,535,False
Colombo,2014,2353,False
Galle,2014,1083,False
Gampaha,2014,2339,False
Hambantota,2014,618,False
Jaffna,2014,593,False
Kalutara,2014,1242,False
Kandy,2014,1404,False
Kegalle,2014,856,False
Kilinochchi,2014,118,False
Kurunegala,2014,1647,False
Mannar,2014,102,False
Matale,2014,496,False
Matara,2014,832,False
Moneragala,2014,467,False
Mullaitivu,2014,95,False
NuwaraEliya,2014,733,False
Polonnaruwa,2014,416,False
Puttalam,2014,778,False
Ratnapura,2014,1114,False
Sri Lanka,2014,20778,False
Trincomalee,2014,391,False
Vavuniya,2014,178,False
Ampara,2015,674,False
Anuradhapura,2015,896,False
Badulla,2015,846,False
Batticaloa,2015,541,False
Colombo,2015,2367,False
Galle,2015,1092,False
Gampaha,2015,2355,False
Hambantota,2015,625,False
Jaffna,2015,596,False
Kalutara,2015,1252,False
Kandy,2015,1417,False
Kegalle,2015,863,False
Kilinochchi,2015,119,False
Kurunegala,2015,1661,False
Mannar,2015,103,False
Matale,2015,501,False
Matara,2015,840,False
Moneragala,2015,475,False
Mullaitivu,2015,96,False
NuwaraEliya,2015,741,False
Polonnaruwa,2015,422,False
Puttalam,2015,786,False
Ratnapura,2015,1125,False
Sri Lanka,2015,20970,False
Trincomalee,2015,396,False
Vavuniya,2015,181,False
Ampara,2016,686,False
Anuradhapura,2016,909,False
Badulla,2016,857,False
Batticaloa,2016,551,False
Colombo,2016,2387,False
Galle,2016,1104,False
Gampaha,2016,2373,False
Hambantota,2016,634,False
Jaffna,2016,600,False
Kalutara,2016,1263,False
Kandy,2016,1434,False
Kegalle,2016,871,False
Kilinochchi,2016,120,False
Kurunegala,2016,1680,False
Mannar,2016,105,False
Matale,2016,508,False
Matara,2016,848,False
Moneragala,2016,483,False
Mullaitivu,2016,97,False
NuwaraEliya,2016,749,False
Polonnaruwa,2016,428,False
Puttalam,2016,797,False
Ratnapura,2016,1138,False
Sri Lanka,2016,21209,False
Trincomalee,2016,404,False
Vavuniya,2016,183,False
Ampara,2017,700,False
Anuradhapura,2017,922,False
Badulla,2017,868,False
Batticaloa,2017,561,False
Colombo,2017,2407,False
Galle,2017,1116,False
Gampaha,2017,2394,False
Hambantota,2017,643,False
Jaffna,2017,605,False
Kalutara,2017,1275,False
Kandy,2017,1453,False
Kegalle,2017,879,False
Kilinochchi,2017,122,False
Kurunegala,2017,1699,False
Mannar,2017,106,False
Matale,2017,514,False
Matara,2017,856,False
Moneragala,2017,489,False
Mullaitivu,2017,98,False
NuwaraEliya,2017,757,False
Polonnaruwa,2017,433,False
Puttalam,2017,810,False
Ratnapura,2017,1148,False
Sri Lanka,2017,21453,False
Trincomalee,2017,411,False
Vavuniya,2017,187,False
Ampara,2018,719,True
Anuradhapura,2018,930,True
Badulla,2018,873,True
Batticaloa,2018,570,True
Colombo,2018,2439,True
Galle,2018,1124,True
Gampaha,2018,2409,True
Hambantota,2018,655,True
Jaffna,2018,613,True
Kalutara,2018,1281,True
Kandy,2018,1468,True
Kegalle,2018,884,True
Kilinochchi,2018,126,True
Kurunegala,2018,1711,True
Mannar,2018,109,True
Matale,2018,519,True
Matara,2018,858,True
