row,year,week_no,week_start,district,ndvi
0,2013,26,2013-05-15,Ampara,0.6258566924449732
0,2013,26,2013-05-15,Anuradhapura,0.6386332763236169
0,2013,26,2013-05-15,Badulla,0.809517874405116
0,2013,26,2013-05-15,Batticaloa,0.6617837280636526
0,2013,26,2013-05-15,Colombo,0.5397932387715646
0,2013,26,2013-05-15,Galle,0.6071126747471743
0,2013,26,2013-05-15,Gampaha,0.6194146099791791
0,2013,26,2013-05-15,Hambantota,0.6600771490184414
0,2013,26,2013-05-15,Jaffna,0.3793855083052106
0,2013,26,2013-05-15,Kalutara,0.5612013310529447
0,2013,26,2013-05-15,Kandy,0.7128952799672814
0,2013,26,2013-05-15,Kegalle,0.7388341965348008
0,2013,26,2013-05-15,Kilinochchi,0.4675625875213669
0,2013,26,2013-05-15,Kurunegala,0.7122148033164784
0,2013,26,2013-05-15,Mannar,0.7557288555919096
0,2013,26,2013-05-15,Matale,0.794597244943486
0,2013,26,2013-05-15,Matara,0.657221508774539
0,2013,26,2013-05-15,Moneragala,0.8045172962522308
0,2013,26,2013-05-15,Mullaitivu,0.7641061960886377
0,2013,26,2013-05-15,NuwaraEliya,0.7319039857227841
0,2013,26,2013-05-15,Polonnaruwa,0.572295482599643
0,2013,26,2013-05-15,Puttalam,0.6549178465199287
0,2013,26,2013-05-15,Ratnapura,0.6553776676829268
0,2013,26,2013-05-15,Trincomalee,0.7480967404699441
0,2013,26,2013-05-15,Vavuniya,0.7094797683670434
1,2013,27,2013-06-22,Ampara,0.6487805417162403
1,2013,27,2013-06-22,Anuradhapura,0.5714166381618084
1,2013,27,2013-06-22,Badulla,0.7689088284503272
1,2013,27,2013-06-22,Batticaloa,0.5402764611838192
1,2013,27,2013-06-22,Colombo,0.44890519965794173
1,2013,27,2013-06-22,Galle,0.6149267233045806
1,2013,27,2013-06-22,Gampaha,0.4698339622992267
1,2013,27,2013-06-22,Hambantota,0.6604121778554166
1,2013,27,2013-06-22,Jaffna,0.3254144336289838
1,2013,27,2013-06-22,Kalutara,0.47335199286139207
1,2013,27,2013-06-22,Kandy,0.5321051624776919
1,2013,27,2013-06-22,Kegalle,0.33564438764128496
1,2013,27,2013-06-22,Kilinochchi,0.412960360726138
