district,age_group,n_seropositive,seroprevalence_pct,n_tested_implied,sampling_period,source
Trincomalee,10-12,40,55.6,72,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Trincomalee,13-15,48,48.5,99,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Trincomalee,16-20,56,66.7,84,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Trincomalee,10-20 (all),144,54.3,265,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Jaffna,10-12,32,34.0,94,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Jaffna,13-15,35,36.1,97,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Jaffna,16-20,49,37.7,130,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Jaffna,10-20 (all),116,31.3,371,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Kurunegala,10-12,38,14.5,262,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Kurunegala,13-15,45,16.0,281,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Kurunegala,16-20,45,15.8,285,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Kurunegala,10-20 (all),128,15.5,826,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Matara,10-12,18,11.5,157,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Matara,13-15,30,17.9,168,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Matara,16-20,34,18.8,181,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Matara,10-20 (all),82,16.2,506,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Ratnapura,10-12,26,16.7,156,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Ratnapura,13-15,49,29.5,166,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Ratnapura,16-20,74,42.8,173,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
Ratnapura,10-20 (all),149,30.0,497,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)"
