Disease Name,Cases,Location Name,Country Code,Region Type,Lattitude,Longitude,Region Boundary,TimeStampStart,TimeStampEnd,Source File
Dengue Fever,139,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,44,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,24,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,16,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,7,Matale,LKA,city,7.47354,80.62424,"{'west': 80.60563, 'south': 7.42466, 'east': 80.63226, 'north': 7.48865}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,4,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,14,Galle,LKA,city,6.03459,80.21702,"{'west': 80.17186, 'south': 6.02034, 'east': 80.24988, 'north': 6.09423}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,4,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,7,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,7,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,1,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,0,Mannar,LKA,city,8.98508,79.90976,"{'west': 79.89545, 'south': 8.96972, 'east': 79.92752, 'north': 8.99724}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,0,Vavuniya,LKA,city,8.75888,80.49993,"{'west': 80.40041, 'south': 8.71375, 'east': 80.55008, 'north': 8.8121}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,1,Mullaitivu,LKA,city,9.26533,80.8115,"{'west': 80.7902, 'south': 9.20712, 'east': 80.84548, 'north': 9.28467}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,0,Batticaloa,LKA,city,7.72066,81.6955,"{'west': 81.65274, 'south': 7.70261, 'east': 81.7078, 'north': 7.76642}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,2,Ampara,LKA,city,7.29173,81.67835,"{'west': 81.62709, 'south': 7.27196, 'east': 81.71644, 'north': 7.32984}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,0,Trincomalee,LKA,city,8.57743,81.22461,"{'west': 81.20242, 'south': 8.53133, 'east': 81.24647, 'north': 8.59751}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,21,Kurunegala,LKA,city,7.48886,80.36227,"{'west': 80.32385, 'south': 7.4446, 'east': 80.38056, 'north': 7.50899}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,13,Puttalam,LKA,city,8.02739,79.83554,"{'west': 79.82815, 'south': 8.01447, 'east': 79.84264, 'north': 8.03154}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,4,Anuradhapura,LKA,city,8.33021,80.40849,"{'west': 80.39065, 'south': 8.29558, 'east': 80.44005, 'north': 8.35545}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,9,Polonnaruwa,LKA,city,7.9422,81.00787,"{'west': 81.00026, 'south': 7.93408, 'east': 81.02119, 'north': 7.94702}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,6,Badulla,LKA,city,6.99091,81.05319,"{'west': 81.04221, 'south': 6.97368, 'east': 81.06696, 'north': 7.01298}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,2,Monaragala,LKA,city,6.87401,81.34969,"{'west': 81.34164, 'south': 6.86256, 'east': 81.35986, 'north': 6.88672}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,9,Ratnapura,LKA,city,6.67685,80.40504,"{'west': 80.39185, 'south': 6.67436, 'east': 80.41107, 'north': 6.6896}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,19,Kegalle,LKA,city,7.24909,80.35499,"{'west': 80.34374, 'south': 7.24466, 'east': 80.36349, 'north': 7.25467}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,1,Kalmune,LKA,city,7.42081,81.82038,"{'west': 81.79167, 'south': 7.39353, 'east': 81.8445, 'north': 7.45169}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,354,SRILANKA,LKA,country,6.88398,79.90079,"{'west': 79.52073, 'south': 5.9187, 'east': 81.87909, 'north': 9.83574}",09-Nov-2013 00:00:00,15-Nov-2013 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_40_no_47_english.pdf
Dengue Fever,426,Colombo,LKA,city,6.93243,79.84588,"{'west': 79.82217, 'south': 6.86256, 'east': 79.88997, 'north': 6.98118}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,114,Gampaha,LKA,city,6.99555,80.92297,"{'west': 80.92049, 'south': 6.69864, 'east': 81.05956, 'north': 7.00913}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,93,Kalutara,LKA,city,6.58227,79.96151,"{'west': 79.95693, 'south': 6.57254, 'east': 79.96688, 'north': 6.59118}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,37,Kandy,LKA,city,7.29497,80.63867,"{'west': 80.59229, 'south': 7.24218, 'east': 80.65777, 'north': 7.3217}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,15,Matale,LKA,city,7.47354,80.62424,"{'west': 80.60563, 'south': 7.42466, 'east': 80.63226, 'north': 7.48865}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,4,NuwaraEliya,LKA,city,6.97375,80.76449,"{'west': 80.74499, 'south': 6.9247, 'east': 80.81502, 'north': 6.99217}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,37,Galle,LKA,city,6.03459,80.21702,"{'west': 80.17186, 'south': 6.02034, 'east': 80.24988, 'north': 6.09423}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,12,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,32,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,52,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,2,Kilinochchi,LKA,city,9.40854,80.40766,"{'west': 80.35301, 'south': 9.30657, 'east': 80.45792, 'north': 9.4388}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,4,Mannar,LKA,city,8.98508,79.90976,"{'west': 79.89545, 'south': 8.96972, 'east': 79.92752, 'north': 8.99724}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,5,Vavuniya,LKA,city,8.75888,80.49993,"{'west': 80.40041, 'south': 8.71375, 'east': 80.55008, 'north': 8.8121}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,1,Mullaitivu,LKA,city,9.26533,80.8115,"{'west': 80.7902, 'south': 9.20712, 'east': 80.84548, 'north': 9.28467}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,19,Batticaloa,LKA,city,7.72066,81.6955,"{'west': 81.65274, 'south': 7.70261, 'east': 81.7078, 'north': 7.76642}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,2,Ampara,LKA,city,7.29173,81.67835,"{'west': 81.62709, 'south': 7.27196, 'east': 81.71644, 'north': 7.32984}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,6,Trincomalee,LKA,city,8.57743,81.22461,"{'west': 81.20242, 'south': 8.53133, 'east': 81.24647, 'north': 8.59751}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,66,Kurunegala,LKA,city,7.48886,80.36227,"{'west': 80.32385, 'south': 7.4446, 'east': 80.38056, 'north': 7.50899}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,24,Puttalam,LKA,city,8.02739,79.83554,"{'west': 79.82815, 'south': 8.01447, 'east': 79.84264, 'north': 8.03154}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,10,Anuradhapura,LKA,city,8.33021,80.40849,"{'west': 80.39065, 'south': 8.29558, 'east': 80.44005, 'north': 8.35545}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,4,Polonnaruwa,LKA,city,7.9422,81.00787,"{'west': 81.00026, 'south': 7.93408, 'east': 81.02119, 'north': 7.94702}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,8,Badulla,LKA,city,6.99091,81.05319,"{'west': 81.04221, 'south': 6.97368, 'east': 81.06696, 'north': 7.01298}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,2,Monaragala,LKA,city,6.87401,81.34969,"{'west': 81.34164, 'south': 6.86256, 'east': 81.35986, 'north': 6.88672}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,98,Ratnapura,LKA,city,6.67685,80.40504,"{'west': 80.39185, 'south': 6.67436, 'east': 80.41107, 'north': 6.6896}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,55,Kegalle,LKA,city,7.24909,80.35499,"{'west': 80.34374, 'south': 7.24466, 'east': 80.36349, 'north': 7.25467}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
Dengue Fever,2,Kalmune,LKA,city,7.42081,81.82038,"{'west': 81.79167, 'south': 7.39353, 'east': 81.8445, 'north': 7.45169}",28-Jun-2014 00:00:00,04-Jul-2014 00:00:00,Data/Sri Lanka Weekly Reports Post 2013/vol_41_no_28-english.pdf
