week_start,Ampara,Anuradhapura,Badulla,Batticaloa,Colombo,Galle,Gampaha,Hambantota,Jaffna,Kalutara,Kandy,Kegalle,Kilinochchi,Kurunegala,Mannar,Matale,Matara,Moneragala,Mullaitivu,NuwaraEliya,Polonnaruwa,Puttalam,Ratnapura,Trincomalee,Vavuniya,missing
2013-05-15,1.0,3.0,11.0,15.0,41.0,30.0,38.0,4.0,8.0,32.0,54.0,22.0,0.0,30.0,0.0,7.0,12.0,3.0,0.0,2.0,4.0,18.0,35.0,1.0,2.0,0
2013-06-22,0.0,6.0,10.0,7.0,231.0,12.0,79.0,7.0,6.0,28.0,33.0,14.0,3.0,47.0,1.0,7.0,10.0,6.0,1.0,2.0,1.0,15.0,23.0,0.0,0.0,0
2013-06-29,4.0,4.0,16.0,9.0,232.0,22.0,98.0,8.0,5.0,36.0,60.0,30.0,0.0,37.0,1.0,8.0,15.0,6.0,0.0,4.0,4.0,12.0,24.0,1.0,1.0,0
2013-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
2013-07-13,3.0,2.0,4.0,5.0,184.0,8.0,73.0,5.0,6.0,36.0,39.0,18.0,0.0,35.0,0.0,5.0,5.0,9.0,0.0,9.0,12.0,11.0,34.0,1.0,0.0,0
2013-07-20,2.0,8.0,13.0,6.0,293.0,30.0,97.0,7.0,7.0,38.0,43.0,17.0,0.0,24.0,0.0,7.0,26.0,4.0,4.0,5.0,9.0,6.0,33.0,5.0,2.0,0
2013-07-27,5.0,6.0,8.0,8.0,154.0,9.0,83.0,7.0,11.0,36.0,34.0,22.0,0.0,17.0,0.0,13.0,11.0,2.0,1.0,12.0,11.0,3.0,20.0,3.0,1.0,0
2013-08-03,4.0,3.0,7.0,4.0,180.0,16.0,39.0,6.0,9.0,37.0,42.0,25.0,6.0,25.0,0.0,6.0,6.0,2.0,3.0,6.0,12.0,14.0,25.0,0.0,1.0,0
2013-08-10,1.0,7.0,9.0,2.0,144.0,19.0,69.0,9.0,7.0,45.0,45.0,49.0,0.0,21.0,0.0,14.0,5.0,4.0,1.0,3.0,17.0,16.0,18.0,1.0,0.0,0
2013-08-17,4.0,3.0,4.0,1.0,219.0,9.0,60.0,4.0,9.0,15.0,36.0,16.0,0.0,25.0,0.0,8.0,5.0,3.0,0.0,5.0,11.0,9.0,20.0,7.0,0.0,0
2013-08-24,1.0,4.0,15.0,6.0,132.0,21.0,85.0,7.0,4.0,37.0,24.0,12.0,3.0,26.0,2.0,5.0,5.0,2.0,1.0,8.0,2.0,11.0,23.0,2.0,0.0,0
2013-08-31,0.0,10.0,7.0,7.0,109.0,13.0,55.0,5.0,10.0,41.0,30.0,15.0,2.0,36.0,1.0,6.0,7.0,3.0,0.0,0.0,19.0,12.0,17.0,1.0,0.0,0
2013-09-07,10.0,4.0,5.0,0.0,55.0,16.0,53.0,9.0,10.0,31.0,25.0,16.0,0.0,24.0,0.0,4.0,8.0,2.0,0.0,1.0,9.0,9.0,20.0,1.0,0.0,0
2013-09-14,5.0,4.0,8.0,4.0,131.0,24.0,43.0,2.0,8.0,26.0,20.0,9.0,1.0,10.0,1.0,4.0,4.0,4.0,0.0,7.0,6.0,6.0,10.0,1.0,0.0,0
2013-09-21,8.0,13.0,6.0,3.0,108.0,16.0,50.0,4.0,7.0,25.0,16.0,11.0,1.0,31.0,2.0,11.0,7.0,5.0,0.0,4.0,6.0,7.0,18.0,1.0,2.0,0
2013-09-28,8.0,8.0,4.0,8.0,112.0,17.0,40.0,8.0,5.0,7.0,18.0,8.0,0.0,27.0,0.0,6.0,7.0,3.0,0.0,6.0,2.0,6.0,9.0,1.0,0.0,0
2013-10-05,2.0,5.0,5.0,5.0,57.0,4.0,53.0,2.0,9.0,14.0,7.0,13.0,0.0,22.0,0.0,0.0,4.0,2.0,3.0,2.0,10.0,5.0,5.0,0.0,1.0,0
2013-10-12,0.0,2.0,5.0,3.0,48.0,3.0,40.0,0.0,9.0,22.0,11.0,16.0,1.0,15.0,0.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,0
2013-10-19,2.0,8.0,7.0,1.0,164.0,6.0,49.0,7.0,19.0,22.0,17.0,34.0,0.0,21.0,2.0,3.0,5.0,5.0,0.0,4.0,12.0,6.0,19.0,3.0,1.0,0
2013-10-26,7.0,4.0,6.0,2.0,145.0,1.0,59.0,0.0,10.0,20.0,9.0,17.0,0.0,9.0,0.0,1.0,4.0,1.0,0.0,2.0,5.0,3.0,5.0,0.0,0.0,0
2013-11-02,7.0,4.0,6.0,2.0,177.0,13.0,62.0,4.0,11.0,23.0,25.0,16.0,0.0,13.0,0.0,10.0,6.0,4.0,0.0,2.0,11.0,10.0,7.0,1.0,0.0,0
2013-11-09,2.0,4.0,6.0,0.0,139.0,14.0,44.0,4.0,7.0,24.0,16.0,19.0,1.0,21.0,0.0,7.0,7.0,2.0,1.0,4.0,9.0,13.0,9.0,0.0,0.0,0
2013-11-16,1.0,1.0,10.0,4.0,123.0,16.0,36.0,5.0,10.0,34.0,17.0,27.0,0.0,17.0,0.0,2.0,10.0,4.0,2.0,5.0,8.0,7.0,18.0,4.0,1.0,0
2013-11-23,3.0,3.0,4.0,3.0,215.0,10.0,110.0,4.0,12.0,36.0,12.0,20.0,0.0,27.0,0.0,8.0,3.0,1.0,1.0,3.0,3.0,7.0,10.0,1.0,1.0,0
2013-11-30,3.0,9.0,7.0,6.0,254.0,10.0,40.0,2.0,25.0,37.0,9.0,12.0,0.0,21.0,0.0,11.0,11.0,4.0,0.0,9.0,10.0,8.0,7.0,0.0,0.0,0
2013-12-07,1.0,13.0,3.0,4.0,256.0,13.0,44.0,7.0,26.0,32.0,28.0,24.0,0.0,24.0,0.0,3.0,10.0,2.0,0.0,5.0,6.0,16.0,4.0,0.0,0.0,0
2013-12-14,5.0,11.0,5.0,9.0,249.0,29.0,23.0,6.0,19.0,49.0,18.0,22.0,1.0,15.0,0.0,4.0,10.0,0.0,0.0,6.0,11.0,10.0,8.0,1.0,3.0,0
2013-12-21,13.0,14.0,9.0,2.0,329.0,27.0,44.0,5.0,34.0,19.0,22.0,18.0,0.0,17.0,1.0,10.0,6.0,3.0,0.0,2.0,7.0,15.0,10.0,5.0,1.0,0
2013-12-28,0.0,3.0,11.0,5.0,244.0,17.0,103.0,13.0,43.0,48.0,16.0,18.0,1.0,25.0,1.0,8.0,10.0,5.0,3.0,8.0,9.0,22.0,12.0,3.0,1.0,0
2014-01-04,0.0,7.0,9.0,6.0,193.0,25.0,68.0,10.0,23.0,55.0,19.0,21.0,2.0,27.0,1.0,3.0,12.0,3.0,3.0,9.0,5.0,9.0,8.0,11.0,1.0,0
2014-01-11,0.0,13.0,3.0,4.0,299.0,19.0,87.0,5.0,10.0,42.0,9.0,9.0,0.0,22.0,0.0,4.0,9.0,5.0,3.0,1.0,17.0,16.0,17.0,8.0,2.0,0
2014-01-18,9.0,15.0,10.0,10.0,200.0,17.0,81.0,5.0,31.0,49.0,13.0,17.0,0.0,28.0,0.0,5.0,12.0,2.0,1.0,3.0,4.0,19.0,15.0,13.0,0.0,0
2014-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,1
2014-02-01,2.0,12.0,12.0,11.0,118.0,11.0,55.0,6.0,15.0,35.0,7.0,10.0,3.0,29.0,0.0,3.0,8.0,8.0,5.0,1.0,0.0,16.0,10.0,11.0,0.0,0
2014-02-08,1.0,6.0,9.0,11.0,143.0,1.0,52.0,5.0,27.0,31.0,13.0,14.0,0.0,28.0,0.0,5.0,12.0,2.0,3.0,2.0,0.0,4.0,11.0,4.0,1.0,0
2014-02-15,4.0,7.0,14.0,15.0,182.0,1.0,64.0,11.0,25.0,37.0,10.0,15.0,1.0,16.0,1.0,5.0,8.0,8.0,0.0,6.0,0.0,2.0,4.0,5.0,5.0,0
2014-02-22,5.0,7.0,3.0,13.0,136.0,8.0,34.0,4.0,23.0,19.0,8.0,11.0,1.0,14.0,0.0,8.0,3.0,1.0,0.0,4.0,0.0,4.0,2.0,15.0,1.0,0
2014-03-01,1.0,8.0,16.0,22.0,144.0,3.0,46.0,3.0,4.0,32.0,4.0,9.0,1.0,20.0,0.0,2.0,6.0,4.0,0.0,1.0,0.0,5.0,11.0,24.0,2.0,0
2014-03-08,2.0,4.0,2.0,24.0,69.0,12.0,34.0,3.0,12.0,23.0,13.0,8.0,0.0,14.0,0.0,3.0,1.0,8.0,3.0,2.0,0.0,3.0,9.0,8.0,1.0,0
2014-03-15,1.0,6.0,9.0,47.0,128.0,18.0,43.0,2.0,14.0,22.0,9.0,12.0,1.0,22.0,0.0,7.0,3.0,7.0,6.0,2.0,0.0,2.0,5.0,2.0,0.0,0
2014-03-22,1.0,4.0,4.0,39.0,60.0,3.0,8.0,2.0,7.0,18.0,9.0,8.0,0.0,11.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,6.0,4.0,27.0,0.0,0
2014-03-29,0.0,5.0,4.0,22.0,71.0,6.0,47.0,11.0,16.0,18.0,8.0,7.0,0.0,15.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,1.0,3.0,22.0,0.0,0
2014-04-05,0.0,1.0,1.0,4.0,52.0,5.0,16.0,2.0,7.0,12.0,6.0,7.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0
