district,age_group,n_seropositive,seroprevalence_pct,sampling_period,source,use
Trincomalee,10-12,40,55.6,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Trincomalee,13-15,48,48.5,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Trincomalee,16-20,56,66.7,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Trincomalee,10-20 (all),144,54.3,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Jaffna,10-12,32,34.0,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Jaffna,13-15,35,36.1,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Jaffna,16-20,49,37.7,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Jaffna,10-20 (all),116,31.3,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Kurunegala,10-12,38,14.5,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Kurunegala,13-15,45,16.0,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Kurunegala,16-20,45,15.8,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Kurunegala,10-20 (all),128,15.5,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Matara,10-12,18,11.5,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Matara,13-15,30,17.9,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
Matara,16-20,34,18.8,2022-09 to 2023-03,"Jeewandara et al., medRxiv 10.1101/2023.04.23.23288986 Table 1 (published J Med Virol 2024, doi:10.1002/jmv.29394)","validation only: sampled 2022-09 to 2023-03, after most of the study period"
