column,population,mean_cases,max_cases,std_cases
Ampara,648057,4.53,78.0,7.61
Anuradhapura,856004,14.18,244.0,21.5
Badulla,811908,23.12,305.0,33.14
Batticaloa,525039,47.61,384.0,62.22
Colombo,2309199,226.33,1972.0,246.89
Galle,1058492,43.2,332.0,53.66
Gampaha,2296341,135.58,2631.0,246.3
Hambantota,598025,21.38,147.0,23.43
Jaffna,583371,68.69,931.0,113.81
Kalutara,1217374,68.83,703.0,84.18
Kandy,1369857,90.68,1062.0,127.15
Kegalle,837695,44.13,807.0,79.21
Kilinochchi,112875,3.59,52.0,6.01
Kurunegala,1609916,54.22,681.0,77.26
Mannar,98893,4.33,63.0,8.33
Matale,482166,21.75,260.0,32.42
Matara,809610,34.5,489.0,51.75
Moneragala,448543,13.06,172.0,22.45
Mullaitivu,92143,2.51,31.0,4.1
NuwaraEliya,706550,6.25,85.0,8.51
Polonnaruwa,403437,8.11,123.0,11.93
Puttalam,759720,36.45,394.0,57.41
Ratnapura,1081664,46.09,920.0,76.03
Trincomalee,377978,28.01,435.0,59.78
Vavuniya,171506,6.22,89.0,10.05
