comparison,unit,val delta,val wins,val p,test delta,test wins,test p
"B vs persistence, 3 origins",origin_seed,-2.3462489446004233,9/9,0.00390625,1.5274238586425781,3/9,0.23046875
"B vs persistence, 9 origins",origin,-2.5783860595137984,8/9,0.10546875,2.2389941392121493,4/9,0.29296875
"gated SEIR-GNN (ASTGCN) vs SEIR-LSTM, 3 origins",origin_seed,-0.5351218117607964,9/9,0.00390625,0.13560443454318577,5/9,0.59375
"gated SEIR-GNN (AAGCN) vs SEIR-LSTM, 3 origins",origin_seed,-0.1402062310112847,8/9,0.0078125,0.0210471683078342,5/9,0.85546875
"AAGCN vs LSTM, direct head, 3 origins",origin_seed,-0.27261151207817924,6/9,0.08203125,1.9571149614122179,1/9,0.01171875
"gated SEIR-GNN (ASTGCN) vs SEIR-LSTM, 9 origins",origin,-0.6179722679985894,8/9,0.01171875,0.066555623654966,6/9,0.8828125
"gated SEIR-GNN (AAGCN) vs SEIR-LSTM, 9 origins",origin,0.18337246223732281,6/9,0.796875,-0.3033529917399089,5/9,0.078125
"metapopulation SEIR-GNN vs SEIR-LSTM, 9 origins",origin,0.486681514316135,4/9,0.3984375,-0.010493561073585782,4/9,0.9609375
"AAGCN vs LSTM, direct head, 9 origins",origin,-0.7197689480251737,6/9,0.515625,-0.8769190046522354,5/9,0.8203125
"gated SEIR-GNN (AAGCN) vs persistence, 9 origins",origin,-1.981689064591019,8/9,0.13671875,-0.5902477193761754,6/9,0.6796875
