encoder,head,val delta,val wins,p,test delta,test wins
AAGCN,foi,7.29696528116862,0/9,0.00390625,14.39050653245714,0/9
AAGCN,foi_res,0.7217642466227213,4/9,0.109375,0.4343024359809028,2/9
ASTGCN,foi,7.381526417202419,0/9,0.00390625,16.144750383165146,0/9
ASTGCN,foi_res,0.6822309494018555,2/9,0.01953125,0.10281329684787327,4/9
LSTM,foi,7.412841373019749,0/9,0.00390625,15.166254467434353,0/9
LSTM,foi_res,0.779173215230306,0/9,0.00390625,0.42397181193033856,2/9
STGAT,foi,2.5963437822129993,6/9,0.25,-9.623023986816406,8/9
STGAT,foi_res,-5.2986752192179365,9/9,0.00390625,-26.158466339111328,9/9
A3TGCN,foi,-3.0840733846028647,6/9,0.03515625,-7.4813348982069225,9/9
A3TGCN,foi_res,-10.951779789394802,9/9,0.00390625,-24.898402320014107,9/9
DCRNN,foi,-8.883959664238823,9/9,0.00390625,-21.263920889960396,9/9
DCRNN,foi_res,-16.96464729309082,9/9,0.00390625,-38.00594499376085,9/9
