key,file,category,year,authors,title,venue,url
weng2024,Weng_2024_Graph_Representation_Learning_Dengue.pdf,baseline,2024,Weng et al.,Graph Representation Learning for Dengue Forecasting,IEEE BigData,local:papers/GraphRepresentation_Dengue_IEEEbigData2024.pdf
liu2025seirlstm,Liu_2025_Explainable_Covariate_Compartmental_Dengue_SriLanka.pdf,baseline,2025,Liu; Fransson; Heidecke; Liyanage; Wallin; Rocklov,An explainable covariate compartmental model for predicting the spatio-temporal patterns of dengue in Sri Lanka,PLOS Computational Biology,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1013540&type=printable
huang2019stgat,Huang_2019_STGAT_Human_Trajectory.pdf,baseline,2019,Huang; Bi; Li; Mao; Wang,STGAT: Modeling Spatial-Temporal Interactions for Human Trajectory Prediction,ICCV,https://openaccess.thecvf.com/content_ICCV_2019/papers/Huang_STGAT_Modeling_Spatial-Temporal_Interactions_for_Human_Trajectory_Prediction_ICCV_2019_paper.pdf
zhao2019tgcn,Zhao_2019_T-GCN.pdf,baseline,2019,Zhao et al.,T-GCN: A Temporal Graph Convolutional Network for Traffic Prediction,IEEE T-ITS,https://arxiv.org/pdf/1811.05320
zhu2020a3tgcn,Zhu_2020_A3T-GCN.pdf,baseline,2020,Zhu; Song; Zhao; Li,A3T-GCN: Attention Temporal Graph Convolutional Network for Traffic Forecasting,ISPRS IJGI,https://arxiv.org/pdf/2006.11583
guo2019astgcn,Guo_2019_ASTGCN.pdf,baseline,2019,Guo; Lin; Feng; Song; Wan,Attention Based Spatial-Temporal Graph Convolutional Networks for Traffic Flow Forecasting,AAAI,https://ojs.aaai.org/index.php/AAAI/article/download/3881/3759
shi2019agcn,Shi_2019_2s-AGCN.pdf,baseline,2019,Shi; Zhang; Cheng; Lu,Two-Stream Adaptive Graph Convolutional Networks for Skeleton-Based Action Recognition,CVPR,https://arxiv.org/pdf/1805.07694
shi2020msaagcn,Shi_2020_MS-AAGCN.pdf,baseline,2020,Shi; Zhang; Cheng; Lu,Skeleton-Based Action Recognition with Multi-Stream Adaptive Graph Convolutional Networks,IEEE TIP,https://arxiv.org/pdf/1912.06971
li2018dcrnn,Li_2018_DCRNN.pdf,baseline,2018,Li; Yu; Shahabi; Liu,Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting,ICLR,https://arxiv.org/pdf/1707.01926
zeng2023dlinear,Zeng_2023_DLinear_Are_Transformers_Effective.pdf,critique,2023,Zeng; Chen; Zhang; Xu,Are Transformers Effective for Time Series Forecasting?,AAAI,https://arxiv.org/pdf/2205.13504
shao2022stid,Shao_2022_STID_Spatial_Temporal_Identity.pdf,critique,2022,Shao et al.,Spatial-Temporal Identity: A Simple yet Effective Baseline for Multivariate Time Series Forecasting,CIKM,https://arxiv.org/pdf/2208.05233
shao2024basicts,Shao_2024_BasicTS_Exploring_Progress_MTS.pdf,critique,2024,Shao et al.,Exploring Progress in Multivariate Time Series Forecasting: Comprehensive Benchmarking and Heterogeneity Analysis,IEEE TKDE,https://arxiv.org/pdf/2310.06119
kim2022revin,Kim_2022_RevIN_Reversible_Instance_Normalization.pdf,critique,2022,Kim; Kim; Tae; Park; Choi; Choo,Reversible Instance Normalization for Accurate Time-Series Forecasting against Distribution Shift,ICLR,https://openreview.net/pdf?id=cGDAkQo1C0p
liu2022nstransformer,Liu_2022_Non-stationary_Transformers.pdf,critique,2022,Liu; Wu; Wang; Long,Non-stationary Transformers: Exploring the Stationarity in Time Series Forecasting,NeurIPS,https://arxiv.org/pdf/2205.14415
ding2019extreme,Ding_2019_Modeling_Extreme_Events_Time_Series.pdf,critique,2019,Ding; Zhang; Pan; Yang; He,Modeling Extreme Events in Time Series Prediction,KDD,http://staff.ustc.edu.cn/~hexn/papers/kdd19-timeseries.pdf
salinas2020deepar,Salinas_2020_DeepAR.pdf,critique,2020,Salinas; Flunkert; Gasthaus,DeepAR: Probabilistic Forecasting with Autoregressive Recurrent Networks,Int. J. Forecasting,https://arxiv.org/pdf/1704.04110
kapoor2020covidgnn,Kapoor_2020_COVID19_Spatio-Temporal_GNN.pdf,epidemic,2020,Kapoor et al.,Examining COVID-19 Forecasting using Spatio-Temporal Graph Neural Networks,KDD epiDAMIK workshop,https://arxiv.org/pdf/2007.03113
panagopoulos2021transfer,Panagopoulos_2021_Transfer_GNN_Pandemic.pdf,epidemic,2021,Panagopoulos; Nikolentzos; Vazirgiannis,Transfer Graph Neural Networks for Pandemic Forecasting,AAAI,https://arxiv.org/pdf/2009.08388
deng2020colagnn,Deng_2020_Cola-GNN.pdf,epidemic,2020,Deng; Wang; Rangwala; Wang; Ning,Cola-GNN: Cross-location Attention based Graph Neural Networks for Long-term ILI Prediction,CIKM,https://arxiv.org/pdf/1912.10202
wang2022causalgnn,Wang_2022_CausalGNN.pdf,epidemic,2022,Wang; Adiga; Chen; Sadilek; Venkatramanan; Marathe,CausalGNN: Causal-Based Graph Neural Networks for Spatio-Temporal Epidemic Forecasting,AAAI,https://cdn.aaai.org/ojs/21479/21479-13-25492-1-2-20220628.pdf
