Week,region,cases
2013-05-15,Ampara,4.0
2013-06-22,Ampara,2.0
2013-06-29,Ampara,5.0
2013-07-13,Ampara,4.0
2013-07-20,Ampara,6.0
2013-07-27,Ampara,5.0
2013-08-03,Ampara,4.0
2013-08-10,Ampara,1.0
2013-08-17,Ampara,5.0
2013-08-24,Ampara,4.0
2013-08-31,Ampara,0.0
2013-09-07,Ampara,10.0
2013-09-14,Ampara,5.0
2013-09-21,Ampara,9.0
2013-09-28,Ampara,9.0
2013-10-05,Ampara,3.0
2013-10-12,Ampara,0.0
2013-10-19,Ampara,3.0
2013-10-26,Ampara,8.0
2013-11-02,Ampara,7.0
2013-11-09,Ampara,3.0
2013-11-16,Ampara,5.0
2013-11-23,Ampara,4.0
2013-11-30,Ampara,4.0
2013-12-07,Ampara,2.0
2013-12-14,Ampara,5.0
2013-12-21,Ampara,13.0
2013-12-27,Ampara,42.0
2013-12-28,Ampara,5.0
2014-01-02,Ampara,19.0
2014-01-04,Ampara,0.0
2014-01-09,Ampara,14.0
2014-01-11,Ampara,3.0
2014-01-18,Ampara,12.0
2014-02-01,Ampara,2.0
2014-02-08,Ampara,4.0
2014-02-15,Ampara,8.0
2014-02-22,Ampara,6.0
2014-03-01,Ampara,2.0
2014-03-08,Ampara,8.0
2014-03-15,Ampara,3.0
2014-03-22,Ampara,5.0
2014-03-29,Ampara,3.0
2014-04-05,Ampara,0.0
2014-04-12,Ampara,2.0
2014-04-19,Ampara,6.0
2014-04-26,Ampara,8.0
2014-05-03,Ampara,6.0
2014-05-10,Ampara,2.0
2014-05-17,Ampara,1.0
2014-05-24,Ampara,6.0
2014-05-31,Ampara,10.0
2014-06-07,Ampara,5.0
2014-06-14,Ampara,4.0
2014-06-21,Ampara,10.0
2014-06-28,Ampara,4.0
2014-07-05,Ampara,2.0
2014-07-12,Ampara,1.0
2014-07-19,Ampara,5.0
2014-07-26,Ampara,8.0
2014-08-02,Ampara,1.0
2014-08-09,Ampara,4.0
2014-08-16,Ampara,11.0
2014-08-23,Ampara,2.0
2014-08-30,Ampara,4.0
2014-09-06,Ampara,0.0
2014-09-13,Ampara,6.0
2014-09-20,Ampara,4.0
2014-09-27,Ampara,2.0
2014-10-04,Ampara,4.0
2014-10-11,Ampara,6.0
2014-10-18,Ampara,2.0
2014-10-25,Ampara,2.0
2014-11-01,Ampara,5.0
2014-11-08,Ampara,44.0
2014-11-15,Ampara,83.0
2014-11-22,Ampara,39.0
2014-11-29,Ampara,37.0
2014-12-06,Ampara,29.0
2014-12-13,Ampara,1.0
2014-12-20,Ampara,64.0
2015-01-03,Ampara,36.0
2015-01-10,Ampara,57.0
2015-01-17,Ampara,45.0
2015-01-24,Ampara,18.0
2015-01-31,Ampara,29.0
2015-02-07,Ampara,19.0
2015-02-14,Ampara,17.0
2015-02-21,Ampara,12.0
2015-02-28,Ampara,11.0
2015-03-07,Ampara,7.0
2015-03-14,Ampara,3.0
2015-03-21,Ampara,2.0
2015-03-28,Ampara,2.0
2015-04-04,Ampara,5.0
2015-04-11,Ampara,1.0
2015-04-18,Ampara,4.0
2015-04-25,Ampara,1.0
2015-05-02,Ampara,5.0
2015-05-09,Ampara,5.0
2015-05-16,Ampara,3.0
2015-05-23,Ampara,3.0
2015-05-30,Ampara,1.0
2015-06-06,Ampara,4.0
2015-06-13,Ampara,5.0
2015-06-20,Ampara,6.0
2015-06-27,Ampara,4.0
2015-07-04,Ampara,3.0
2015-07-11,Ampara,2.0
2015-07-25,Ampara,1.0
2015-08-01,Ampara,4.0
2015-08-08,Ampara,2.0
2015-08-15,Ampara,1.0
2015-08-22,Ampara,1.0
2015-08-29,Ampara,0.0
2015-09-05,Ampara,2.0
2015-09-12,Ampara,4.0
