district,segment,model,mae,rmse
Ampara,1.0,Naive,36.02424242424242,118.40961263189895
Ampara,1.0,Seasonal-Naive,42.13939393939394,154.7311842969587
Ampara,1.0,ARIMA,37.01888634170709,118.76301846643739
Ampara,1.0,Random Forest,25.076969696969694,116.99727790151204
Ampara,1.0,XGBoost,25.996564331741045,115.98394623593862
Anuradhapura,1.0,Naive,13.44848484848485,41.88056611582296
Anuradhapura,1.0,Seasonal-Naive,15.963636363636363,52.74604681438652
Anuradhapura,1.0,ARIMA,13.649780571029238,41.9860275413757
Anuradhapura,1.0,Random Forest,10.688473015873017,40.50774661683799
Anuradhapura,1.0,XGBoost,10.592627482432308,39.629626749184816
Badulla,1.0,Naive,22.715151515151515,37.13219627223793
Badulla,1.0,Seasonal-Naive,20.993939393939392,33.34502825146365
Badulla,1.0,ARIMA,23.995444767911387,38.25169034225638
Badulla,1.0,Random Forest,15.309925974025976,31.14259353684661
Badulla,1.0,XGBoost,17.23318306243781,36.354565870676524
Batticaloa,1.0,Naive,200.12121212121212,207.32390117880763
Batticaloa,1.0,Seasonal-Naive,46.16969696969697,79.22266281204074
Batticaloa,1.0,ARIMA,241.73549724504508,249.77507231065863
Batticaloa,1.0,Random Forest,17.859730303030307,34.991960192439336
Batticaloa,1.0,XGBoost,20.302313945555326,37.739570750145845
