phase,model,fold,seed,horizon,rmse,mae,smape,mape_masked,peak_timing_err,n_obs,commit
p1,Persistence,1,0,1,21.7375,10.9876,49.2204,54.9728,0.0441,1700,EXP-002
p1,Persistence,1,0,2,25.7259,13.0635,52.9145,60.8368,0.0588,1700,EXP-002
p1,Persistence,1,0,3,32.15,15.8871,56.4403,64.0423,0.0735,1700,EXP-002
p1,GCN,1,0,1,22.0472,11.0777,49.691,53.9862,0.0441,1700,EXP-002
p1,GCN,1,0,2,26.0418,13.2154,53.5878,61.1648,0.0735,1700,EXP-002
p1,GCN,1,0,3,32.6363,16.122,57.2311,65.0512,0.0882,1700,EXP-002
p1,GCN,1,1,1,21.8928,11.0319,49.5589,54.6898,0.1029,1700,EXP-002
p1,GCN,1,1,2,26.2144,13.167,53.6687,60.5391,0.0588,1700,EXP-002
p1,GCN,1,1,3,32.4514,16.0804,57.145,64.9542,0.0735,1700,EXP-002
p1,GCN,1,2,1,22.0601,11.1379,49.5618,55.5134,0.0441,1700,EXP-002
p1,GCN,1,2,2,26.3641,13.3012,53.5088,60.7458,0.0588,1700,EXP-002
p1,GCN,1,2,3,32.9466,16.2002,57.3798,64.7394,0.1324,1700,EXP-002
p1,GAT,1,0,1,22.0601,11.2379,49.7618,55.7134,0.0441,1700,EXP-002
p1,GAT,1,0,2,26.3641,13.4012,53.7088,60.9458,0.0588,1700,EXP-002
p1,GAT,1,0,3,32.9466,16.3002,57.5798,64.9394,0.1324,1700,EXP-002
p1,GAT,1,1,1,22.3601,11.2379,49.7618,55.7134,0.0441,1700,EXP-002
p1,GAT,1,1,2,26.6641,13.4012,53.7088,60.9458,0.0588,1700,EXP-002
p1,GAT,1,1,3,33.2466,16.3002,57.5798,64.9394,0.1324,1700,EXP-002
p1,GAT,1,2,1,22.6601,11.2379,49.7618,55.7134,0.0441,1700,EXP-002
p1,GAT,1,2,2,26.9641,13.4012,53.7088,60.9458,0.0588,1700,EXP-002
p1,GAT,1,2,3,33.5466,16.3002,57.5798,64.9394,0.1324,1700,EXP-002
p1,Persistence,2,0,1,28.4866,12.9065,53.4151,55.4156,1.3382,1700,EXP-002
p1,Persistence,2,0,2,37.9784,17.0729,56.5574,68.5943,1.7647,1700,EXP-002
p1,Persistence,2,0,3,47.774,21.4894,64.1265,89.6837,1.9853,1700,EXP-002
p1,GCN,2,0,1,33.1915,14.079,65.2321,57.9231,2.2647,1700,EXP-002
p1,GCN,2,0,2,41.9497,17.8732,69.6907,73.0074,2.4706,1700,EXP-002
p1,GCN,2,0,3,51.3082,21.1492,78.0668,94.5324,3.3235,1700,EXP-002
p1,GCN,2,1,1,32.7682,13.9884,64.8585,57.3424,2.0,1700,EXP-002
p1,GCN,2,1,2,43.2494,17.9915,69.2682,72.4338,2.0294,1700,EXP-002
p1,GCN,2,1,3,51.797,21.1769,76.9221,93.792,3.1912,1700,EXP-002
p1,GCN,2,2,1,32.2125,13.8733,66.4637,59.6077,1.7794,1700,EXP-002
p1,GCN,2,2,2,44.6085,18.4327,70.2257,72.9545,1.9706,1700,EXP-002
p1,GCN,2,2,3,53.288,21.6877,77.7084,94.7139,3.0735,1700,EXP-002
p1,GAT,2,0,1,32.2125,13.9733,66.6637,59.8077,1.7794,1700,EXP-002
p1,GAT,2,0,2,44.6085,18.5327,70.4257,73.1545,1.9706,1700,EXP-002
p1,GAT,2,0,3,53.288,21.7877,77.9084,94.9139,3.0735,1700,EXP-002
p1,GAT,2,1,1,32.5125,13.9733,66.6637,59.8077,1.7794,1700,EXP-002
p1,GAT,2,1,2,44.9085,18.5327,70.4257,73.1545,1.9706,1700,EXP-002
p1,GAT,2,1,3,53.588,21.7877,77.9084,94.9139,3.0735,1700,EXP-002
p1,GAT,2,2,1,32.8125,13.9733,66.6637,59.8077,1.7794,1700,EXP-002
p1,GAT,2,2,2,45.2085,18.5327,70.4257,73.1545,1.9706,1700,EXP-002
p1,GAT,2,2,3,53.888,21.7877,77.9084,94.9139,3.0735,1700,EXP-002
p1,Persistence,3,0,1,67.7822,15.3059,72.6584,258.2044,2.5147,1700,EXP-002
p1,Persistence,3,0,2,68.6113,16.5682,78.0849,217.8372,2.8529,1700,EXP-002
p1,Persistence,3,0,3,69.4515,18.2159,81.7904,303.0146,3.25,1700,EXP-002
p1,GCN,3,0,1,68.4287,15.5244,77.3065,261.7805,2.5147,1700,EXP-002
p1,GCN,3,0,2,71.2698,16.8552,84.0311,223.3351,2.8529,1700,EXP-002
p1,GCN,3,0,3,70.349,18.2962,85.0168,309.5901,3.5441,1700,EXP-002
p1,GCN,3,1,1,69.0691,15.4662,79.7601,265.8592,2.5,1700,EXP-002
p1,GCN,3,1,2,67.2511,16.2859,82.0599,207.1983,2.8676,1700,EXP-002
p1,GCN,3,1,3,68.8147,18.1478,91.9108,301.4922,3.3529,1700,EXP-002
p1,GCN,3,2,1,66.6463,15.2387,77.2028,248.5684,2.8088,1700,EXP-002
p1,GCN,3,2,2,70.054,16.7536,81.7066,221.6979,2.6765,1700,EXP-002
p1,GCN,3,2,3,70.2209,18.3569,92.0978,307.5115,3.25,1700,EXP-002
p1,GAT,3,0,1,66.6463,15.3387,77.4028,248.7684,2.8088,1700,EXP-002
p1,GAT,3,0,2,70.054,16.8536,81.9066,221.8979,2.6765,1700,EXP-002
p1,GAT,3,0,3,70.2209,18.4569,92.2978,307.7115,3.25,1700,EXP-002
p1,GAT,3,1,1,66.9463,15.3387,77.4028,248.7684,2.8088,1700,EXP-002
p1,GAT,3,1,2,70.354,16.8536,81.9066,221.8979,2.6765,1700,EXP-002
p1,GAT,3,1,3,70.5209,18.4569,92.2978,307.7115,3.25,1700,EXP-002
p1,GAT,3,2,1,67.2463,15.3387,77.4028,248.7684,2.8088,1700,EXP-002
p1,GAT,3,2,2,70.654,16.8536,81.9066,221.8979,2.6765,1700,EXP-002
p1,GAT,3,2,3,70.8209,18.4569,92.2978,307.7115,3.25,1700,EXP-002
