label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,horizon,rmse,mae,smape,mape,peak_week_err,n_obs,config,use_adaptive,hidden,epochs
dense_fixed,1,0.55,0,DenseGCN,0.0,1.0,68,1,22.65800028349952,11.109363677787101,49.92558623125586,54.43146981624819,1.1666666666666667,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,0,DenseGCN,0.0,1.0,68,2,26.362528192704467,13.036949242014055,54.09597431509477,58.5478302444317,2.0416666666666665,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,0,DenseGCN,0.0,1.0,68,3,31.913383250034997,15.613000766018077,57.913933861813135,63.77336031278875,4.708333333333333,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,0,DenseGCN,0.0,1.0,68,0,27.244766470044702,13.253104561939745,53.97849813605459,58.915663916864844,nan,5100,dense_fixed,False,64,120
dense_fixed,1,0.55,1,DenseGCN,0.0,1.0,68,1,21.648649989074837,10.948546846662905,50.11987887469815,55.845305575136564,1.0,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,1,DenseGCN,0.0,1.0,68,2,25.388475832104092,12.79895809383176,53.18193374655728,60.3411766697835,7.083333333333333,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,1,DenseGCN,0.0,1.0,68,3,32.100856104439615,15.991500435345532,57.399812371874916,65.82181575269556,5.708333333333333,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,1,DenseGCN,0.0,1.0,68,0,26.731402968947354,13.246335125280066,53.56720833104346,60.66741476332786,nan,5100,dense_fixed,False,64,120
dense_fixed,1,0.55,2,DenseGCN,0.0,1.0,68,1,22.592884292079344,11.115602198160623,49.89907882205706,53.53104237422646,3.3333333333333335,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,2,DenseGCN,0.0,1.0,68,2,26.625602552014207,13.102353735882241,54.03149326863079,58.00128538653596,8.0,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,2,DenseGCN,0.0,1.0,68,3,31.851594111037524,15.326763534104805,57.36879043517842,60.95743508860434,7.75,1700,dense_fixed,False,64,120
dense_fixed,1,0.55,2,DenseGCN,0.0,1.0,68,0,27.287879967166077,13.181573156049224,53.76645417528876,57.49508551436935,nan,5100,dense_fixed,False,64,120
persistence,1,0.55,0,Persistence,0.0,nan,68,1,21.73748456685174,10.98764705882353,49.220408508712495,54.97283728354015,0.9583333333333334,1700,dense_fixed,False,64,120
persistence,1,0.55,0,Persistence,0.0,nan,68,2,25.725862473394358,13.063529411764707,52.91451070023179,60.836796905397215,1.75,1700,dense_fixed,False,64,120
persistence,1,0.55,0,Persistence,0.0,nan,68,3,32.15001600951024,15.887058823529411,56.440328821915266,64.04234974519234,4.458333333333333,1700,dense_fixed,False,64,120
persistence,1,0.55,0,Persistence,0.0,nan,68,0,26.882223151529477,13.312745098039215,52.858416010286525,59.94882686306313,nan,5100,dense_fixed,False,64,120
dense_fixed,2,0.7,0,DenseGCN,0.0,1.0,68,1,30.773911658029434,13.343624498650799,64.79511548314252,55.45802071636865,2.24,1700,dense_fixed,False,64,120
dense_fixed,2,0.7,0,DenseGCN,0.0,1.0,68,2,40.63372961389626,17.49666173197711,70.06450233290143,69.51216270431425,4.04,1700,dense_fixed,False,64,120
dense_fixed,2,0.7,0,DenseGCN,0.0,1.0,68,3,52.74814864849451,22.115891511162353,77.03231606858132,90.71233785833648,4.833333333333333,1700,dense_fixed,False,64,120
dense_fixed,2,0.7,0,DenseGCN,0.0,1.0,68,0,42.34973753132009,17.65205924726342,70.63064462820843,71.8416644382486,nan,5100,dense_fixed,False,64,120
dense_fixed,2,0.7,1,DenseGCN,0.0,1.0,68,1,32.09292980877047,14.157807359054525,66.94696589261288,60.35490411851531,1.2,1700,dense_fixed,False,64,120
