label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_a3tgcn,1,0.4,0,AdaptiveGCN,0.0,0.736591100692749,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,78.664,1.5327,0,91.01362599892967,37.29023738738711,60.781481426840564,57.67336220001674,nan,2550
X_a3tgcn,1,0.4,0,AdaptiveGCN,0.0,0.736591100692749,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,78.664,1.5327,1,63.59452861163314,28.288576882557038,54.81072266838694,53.60050544876389,2.36,850
X_a3tgcn,1,0.4,0,AdaptiveGCN,0.0,0.736591100692749,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,78.664,1.5327,2,77.57228536905278,34.82438622845501,59.84161050049273,59.30952901424503,2.88,850
X_a3tgcn,1,0.4,0,AdaptiveGCN,0.0,0.736591100692749,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,78.664,1.5327,3,121.60886820337386,48.757749051149275,67.69211111164205,60.08151344681632,6.16,850
X_a3tgcn,1,0.4,1,AdaptiveGCN,0.0,0.6240968704223633,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,42.321,1.692,0,105.42774175879467,42.04820463229318,64.13816911508067,58.35574912622662,nan,2550
X_a3tgcn,1,0.4,1,AdaptiveGCN,0.0,0.6240968704223633,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,42.321,1.692,1,71.53415136547798,30.95775413166403,56.42707014802589,53.45415285837532,2.76,850
X_a3tgcn,1,0.4,1,AdaptiveGCN,0.0,0.6240968704223633,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,42.321,1.692,2,88.55512310187598,38.52859998173738,62.35888951855362,59.814344904011726,3.28,850
X_a3tgcn,1,0.4,1,AdaptiveGCN,0.0,0.6240968704223633,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,42.321,1.692,3,142.7791355832839,56.65825978347812,73.6285476786625,61.76255205094624,7.36,850
X_a3tgcn,1,0.4,2,AdaptiveGCN,0.0,0.7722921967506409,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,61.812,1.5877,0,90.00544119264846,36.64311488164889,60.14084987614338,57.80275420680423,nan,2550
X_a3tgcn,1,0.4,2,AdaptiveGCN,0.0,0.7722921967506409,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,61.812,1.5877,1,53.890015547734315,25.454299196425605,52.687151385692474,54.01752058773282,2.52,850
X_a3tgcn,1,0.4,2,AdaptiveGCN,0.0,0.7722921967506409,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,61.812,1.5877,2,80.77869477492659,35.72560811280437,60.00136853650111,59.37881617193411,2.96,850
X_a3tgcn,1,0.4,2,AdaptiveGCN,0.0,0.7722921967506409,1.0,gru_attn,gcn,3,64,0.001,none,151,151,34,23865,61.812,1.5877,3,121.95739841261828,48.74943733571669,67.73402970623656,59.98560367279158,6.16,850
X_a3tgcn,2,0.475,0,AdaptiveGCN,0.0,0.7902559638023376,1.0,gru_attn,gcn,3,64,0.001,none,185,185,34,23865,35.881,1.3783,0,116.4590159552663,42.69261888996643,43.95033172691575,53.04062212004324,nan,2550
X_a3tgcn,2,0.475,0,AdaptiveGCN,0.0,0.7902559638023376,1.0,gru_attn,gcn,3,64,0.001,none,185,185,34,23865,35.881,1.3783,1,83.29368518200737,33.44521527989822,39.98564626822198,45.86050507217728,1.0,850
X_a3tgcn,2,0.475,0,AdaptiveGCN,0.0,0.7902559638023376,1.0,gru_attn,gcn,3,64,0.001,none,185,185,34,23865,35.881,1.3783,2,119.91243462166895,44.36169813962544,42.52292623914618,51.0936783627249,2.0,850
X_a3tgcn,2,0.475,0,AdaptiveGCN,0.0,0.7902559638023376,1.0,gru_attn,gcn,3,64,0.001,none,185,185,34,23865,35.881,1.3783,3,139.18073582113124,50.27094325037564,49.3424226733791,62.16768292522753,3.24,850
X_a3tgcn,2,0.475,1,AdaptiveGCN,0.0,0.7906652688980103,1.0,gru_attn,gcn,3,64,0.001,none,185,185,34,23865,61.572,1.0174,0,119.23754797672316,44.17577422099362,44.88797837372544,55.64034818909577,nan,2550
