label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_gat_h1,1,0.4,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,28.228,1.3457,0,102.35442338075664,40.46547470770192,63.887520672413714,61.615224132545286,nan,2550
X_gat_h1,1,0.4,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,28.228,1.3457,1,70.10333189401372,31.59895902379909,56.37227429958153,61.48563311025935,3.56,850
X_gat_h1,1,0.4,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,28.228,1.3457,2,65.7767713339848,31.040613710599786,57.99947020727427,59.134388297801756,3.04,850
X_gat_h1,1,0.4,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,28.228,1.3457,3,148.95711855113194,58.75685138870688,77.29081751038531,64.21555468406058,9.28,850
X_gat_h1,1,0.4,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,31.161,1.5711,0,91.85004775638717,37.74409579340734,61.67287474428625,57.80547644917584,nan,2550
X_gat_h1,1,0.4,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,31.161,1.5711,1,59.48962667575198,26.961788648220107,53.873216166532934,53.78359548863205,2.52,850
X_gat_h1,1,0.4,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,31.161,1.5711,2,86.52220582805778,37.9038527299157,62.13997393572349,58.89955787677405,3.76,850
X_gat_h1,1,0.4,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,31.161,1.5711,3,119.5164676317815,48.366646002086206,69.00543413060228,60.70320231532459,7.4,850
X_gat_h1,1,0.4,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,38.489,1.1963,0,126.41845411428345,49.99655589287571,74.07693174372018,61.42603186962216,nan,2550
X_gat_h1,1,0.4,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,38.489,1.1963,1,76.79971119760432,32.900488027639355,59.05237029433684,53.92601755831156,3.72,850
X_gat_h1,1,0.4,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,151,151,34,7160,38.489,1.1963,2,128.28765796164626,53.13612005449831,79.51172647499646,65.21739888869651,6.24,850
