label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
lstm,1,0.4,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.243,1.0409,0,100.6472350352606,40.7236526983056,61.39307327420854,59.43666036890781,nan,2550
lstm,1,0.4,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.243,1.0409,1,65.96015849286492,29.506702792256633,55.54045389498028,54.96721895069954,2.52,850
lstm,1,0.4,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.243,1.0409,2,90.78035082423705,39.20470593935426,60.85380431609037,61.00868406178817,3.12,850
lstm,1,0.4,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.243,1.0409,3,133.40833241051155,53.459549363305904,67.78496161155496,62.3019498973206,6.68,850
lstm,1,0.4,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,27.599,1.0985,0,104.13645942289332,41.197081808571376,60.9497946347262,59.512982592851515,nan,2550
lstm,1,0.4,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,27.599,1.0985,1,69.7880851409541,30.428157383245416,54.87955441406845,54.574793111689125,2.6,850
lstm,1,0.4,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,27.599,1.0985,2,100.57718132321385,41.19604025542298,61.343292385199035,61.877379698182025,2.96,850
lstm,1,0.4,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,27.599,1.0985,3,132.4653173960793,51.96704778704573,66.62653710491116,62.053553523638506,6.4,850
lstm,1,0.4,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,27.576,1.177,0,99.67880931475851,39.962797307004315,60.8295954435662,59.529851705065475,nan,2550
lstm,1,0.4,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,27.576,1.177,1,71.34790806451306,30.356517460444284,55.504761741112574,56.04716040107339,2.28,850
lstm,1,0.4,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,27.576,1.177,2,94.22453106727201,39.614109939433746,60.91769457368981,61.57154338672074,3.2,850
lstm,1,0.4,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,27.576,1.177,3,125.85232949450895,49.917764521134906,66.06633001589626,60.94877906128017,6.4,850
lstm,2,0.475,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,35.6,0.8387,0,125.90476026965214,43.55257879756464,45.12780214094925,54.67952694925845,nan,2550
lstm,2,0.475,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,35.6,0.8387,1,87.44606058412059,32.949105603714635,39.327482749420824,43.37171556302316,1.24,850
lstm,2,0.475,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,35.6,0.8387,2,128.75642997627597,45.396378770304075,44.21080457797194,52.25210891676889,2.16,850
lstm,2,0.475,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,35.6,0.8387,3,152.7448663744821,52.31225201867521,51.845119095454976,68.4147563679833,3.44,850
lstm,2,0.475,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,36.541,0.7954,0,147.90067484320846,47.62282392923465,45.096906893982876,53.55355989075973,nan,2550
lstm,2,0.475,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,36.541,0.7954,1,99.81007557343717,37.167038931855934,39.702587102211396,43.624086663264706,1.24,850
lstm,2,0.475,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,36.541,0.7954,2,127.08196046574876,46.01014709922868,44.0828989254345,51.376825092327024,2.2,850
lstm,2,0.475,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,36.541,0.7954,3,198.7761378924443,59.691285756619315,51.505234654302726,65.65976791668744,3.32,850
lstm,2,0.475,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,40.389,0.9666,0,125.06579188631949,45.19826756765262,44.72918438429953,51.58757136734779,nan,2550
lstm,2,0.475,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,40.389,0.9666,1,102.38730796570566,38.099981126849926,39.310993558106325,42.366707317299856,2.0,850
lstm,2,0.475,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,40.389,0.9666,2,131.25439631195627,45.51580422283972,43.762673971438204,48.50259775435163,2.52,850
lstm,2,0.475,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,40.389,0.9666,3,138.61269608797093,51.97901735326823,51.11388562335409,63.893409030391915,3.64,850
lstm,3,0.55,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,62.192,1.0568,0,22.964200584819658,12.444725197908268,55.31593044352412,65.55861092867113,nan,2550
lstm,3,0.55,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,62.192,1.0568,1,17.375456112576934,9.828958980112391,49.47272808408583,57.58157203586295,2.25,850
lstm,3,0.55,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,62.192,1.0568,2,22.81886418596874,12.596976721787497,56.24993484192235,68.5487069044017,3.75,850
lstm,3,0.55,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,62.192,1.0568,3,27.55823810844446,14.908239891824914,60.22512840456417,70.56122976087559,4.416666666666667,850
lstm,3,0.55,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.499,0.7043,0,23.842685200123565,12.810861504206471,55.42668061395653,64.47187371172546,nan,2550
lstm,3,0.55,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.499,0.7043,1,17.59782187793516,10.039978226230424,49.55436295797572,55.50653753723864,2.9583333333333335,850
lstm,3,0.55,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.499,0.7043,2,23.941719991042724,13.065981026804623,56.481424562293434,66.57218612401327,4.458333333333333,850
lstm,3,0.55,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.499,0.7043,3,28.679812092821415,15.326625259584365,60.2442543216004,71.35603938436785,4.75,850
lstm,3,0.55,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.492,0.989,0,22.617058525200466,12.590887263352965,54.29183797474867,71.22194108557808,nan,2550
lstm,3,0.55,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.492,0.989,1,16.861557073663427,9.908521078316605,48.90118454114488,61.35316277240045,3.25,850
lstm,3,0.55,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.492,0.989,2,22.808840724746386,12.830482237812351,55.09804667385689,73.42658654859069,4.75,850
lstm,3,0.55,2,lstm,0.0,nan,1.0,none,none,0,0,34,19907,72.492,0.989,3,27.01922809485442,15.033658473929938,58.87628270924425,78.90727455383663,5.541666666666667,850
lstm,4,0.625,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.391,1.0052,0,31.247321583110903,14.469760345479145,52.422717283733355,59.108839538486876,nan,2550
lstm,4,0.625,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.391,1.0052,1,26.648618007409247,12.657089965505635,50.76457318650039,57.41754456705422,2.0833333333333335,850
lstm,4,0.625,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.391,1.0052,2,29.610816429969187,14.16555987238884,51.81885179511572,58.190140978808216,2.75,850
lstm,4,0.625,0,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.391,1.0052,3,36.63653950635753,16.58663119854296,54.68472686958393,61.718833069598176,3.4583333333333335,850
lstm,4,0.625,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.595,1.0489,0,31.96774116176793,14.439692825912385,52.33557169409856,55.84642839124909,nan,2550
lstm,4,0.625,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.595,1.0489,1,26.585106347946734,12.542630231402375,50.70085251995033,56.71019255847531,2.0833333333333335,850
lstm,4,0.625,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.595,1.0489,2,30.00360488190875,14.0575080372363,51.50675048843326,55.75473325166165,2.75,850
lstm,4,0.625,1,lstm,0.0,nan,1.0,none,none,0,0,34,19907,34.595,1.0489,3,38.194570812041306,16.718940209098474,54.799112073912084,55.07435936361033,3.2916666666666665,850
