fold,origin,n_test,model,model_RMSE,model_RMSE_std,model_MAE,model_SMAPE,persist_RMSE,persist_MAE,persist_SMAPE,gate_weight,experiment
1,0.55,68,GCN,28.807507311340796,1.8483831810336353,14.074362502518595,55.82166375150167,26.882223151529477,13.312745098039215,52.858416010286525,1.0,GCN (lambda_phys=0.01)
2,0.7,68,GCN,42.76238893880387,0.8376950004457856,18.069625377648407,70.38156036395011,38.88532915547214,17.15627450980392,58.0329747426534,1.0,GCN (lambda_phys=0.01)
3,0.85,68,GCN,66.78635392116492,0.837891891114058,16.566800448212152,85.33479570388447,68.6183948926748,16.696666666666665,77.51124898820103,1.0,GCN (lambda_phys=0.01)
1,0.55,68,GCN,28.373021079203763,1.1629441557188056,13.686215166385777,55.12051736749974,26.882223151529477,13.312745098039215,52.858416010286525,1.0,GCN (lambda_phys=0.1)
2,0.7,68,GCN,42.706682738361444,1.6361154368842414,18.06013174641471,71.96612281809912,38.88532915547214,17.15627450980392,58.0329747426534,1.0,GCN (lambda_phys=0.1)
3,0.85,68,GCN,66.26339437744457,1.4461324741748531,16.455955643064904,84.84252432061636,68.6183948926748,16.696666666666665,77.51124898820103,1.0,GCN (lambda_phys=0.1)
1,0.55,68,GCN,28.177957047428976,1.1970470276017373,13.751746550489548,54.40037033672234,26.882223151529477,13.312745098039215,52.858416010286525,1.0,GCN (lambda_phys=1.0)
2,0.7,68,GCN,41.67656829023376,1.2561778840500282,17.760781258491757,71.63965472354012,38.88532915547214,17.15627450980392,58.0329747426534,1.0,GCN (lambda_phys=1.0)
3,0.85,68,GCN,66.83288291455192,0.9030887412416732,16.54817874795954,84.99161988031987,68.6183948926748,16.696666666666665,77.51124898820103,1.0,GCN (lambda_phys=1.0)
1,0.55,68,AdaptiveGCN,29.524955349375634,0.8247046069731112,14.421726227896665,55.971753287109074,26.882223151529477,13.312745098039215,52.858416010286525,0.4057255685329437,PIAG-Net (Combined)
2,0.7,68,AdaptiveGCN,40.91249381516003,0.8042132352363306,17.08556975420642,67.74744914842917,38.88532915547214,17.15627450980392,58.0329747426534,0.42665910720825195,PIAG-Net (Combined)
3,0.85,68,AdaptiveGCN,68.03849799056785,0.7458218821641989,16.756327395032624,88.38098342513983,68.6183948926748,16.696666666666665,77.51124898820103,0.48974449435869855,PIAG-Net (Combined)
