label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
adaptive,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,34,7032,33.061,0.5738,0,92.75198405783877,37.38276134237507,60.84247561783912,58.76655757812378,nan,2550
adaptive,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,34,7032,33.061,0.5738,1,55.210400944324704,25.936384048229904,53.47339728676263,56.18787598526922,2.56,850
adaptive,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,34,7032,33.061,0.5738,2,78.66053535286336,35.207588105989956,60.262070103340136,60.31975739704857,3.12,850
adaptive,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,34,7032,33.061,0.5738,3,128.73664375602064,51.00431187290534,68.79195946341457,59.77584688325888,6.12,850
adaptive,1,0.4,1,AdaptiveGCN,0.0,0.8055638670921326,34,7032,36.583,0.9746,0,91.90912870782495,37.3837908503169,60.80804610340419,60.10395369589002,nan,2550
adaptive,1,0.4,1,AdaptiveGCN,0.0,0.8055638670921326,34,7032,36.583,0.9746,1,56.58798054692682,26.456597256458856,55.12102743431569,58.581394458733804,3.04,850
adaptive,1,0.4,1,AdaptiveGCN,0.0,0.8055638670921326,34,7032,36.583,0.9746,2,90.01601572348045,38.109792934486315,60.76861462097085,61.923280932983836,3.72,850
adaptive,1,0.4,1,AdaptiveGCN,0.0,0.8055638670921326,34,7032,36.583,0.9746,3,118.4769226068324,47.58498236000552,66.53449625492604,59.80089798984747,6.76,850
adaptive,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,34,7032,19.91,0.4051,0,119.05058894117506,45.70389825673822,65.1535202227742,59.03948695473805,nan,2550
adaptive,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,34,7032,19.91,0.4051,1,84.82569533333226,34.08959542839624,57.495212054921176,54.91069830159084,3.96,850
adaptive,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,34,7032,19.91,0.4051,2,106.87349554257825,43.55827898971333,64.87049936766444,59.82086579530189,3.8,850
adaptive,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,34,7032,19.91,0.4051,3,154.6020230897678,59.463820352105095,73.09484924573702,62.35478384827624,8.64,850
adaptive,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,34,7032,45.487,1.0746,0,121.39343425155337,43.47365714659289,43.1393509724548,51.811399989469386,nan,2550
adaptive,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,34,7032,45.487,1.0746,1,107.28851044737618,38.08372628398938,38.06556235346553,44.112252093278045,1.24,850
adaptive,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,34,7032,45.487,1.0746,2,122.63905789583667,45.04921813285252,42.496967161063466,51.235658220416305,2.04,850
adaptive,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,34,7032,45.487,1.0746,3,132.88316162164227,47.28802702293677,48.855523402835374,60.08628965471382,4.04,850
adaptive,2,0.475,1,AdaptiveGCN,0.0,0.5437830090522766,34,7032,56.479,0.5054,0,153.4148147321086,49.20655297914244,46.610393004181994,53.13416453847808,nan,2550
adaptive,2,0.475,1,AdaptiveGCN,0.0,0.5437830090522766,34,7032,56.479,0.5054,1,109.2492617486692,39.15989143776105,40.806949358931064,43.292468519726,2.96,850
adaptive,2,0.475,1,AdaptiveGCN,0.0,0.5437830090522766,34,7032,56.479,0.5054,2,129.81184613584406,48.56653748580138,47.180538175089374,52.82233355192971,3.96,850
