label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
mech_band1.5,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,34,7032,21.668,0.6386,0,92.75198405783877,37.38276134237507,60.84247561783912,58.76655757812378,nan,2550
mech_band1.5,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,34,7032,21.668,0.6386,1,55.210400944324704,25.936384048229904,53.47339728676263,56.18787598526922,2.56,850
mech_band1.5,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,34,7032,21.668,0.6386,2,78.66053535286336,35.207588105989956,60.262070103340136,60.31975739704857,3.12,850
mech_band1.5,1,0.4,0,AdaptiveGCN,0.0,0.7877589464187622,34,7032,21.668,0.6386,3,128.73664375602064,51.00431187290534,68.79195946341457,59.77584688325888,6.12,850
mech_band1.5,1,0.4,1,AdaptiveGCN,0.0,0.8082548379898071,34,7032,21.606,0.7147,0,92.76297699110702,37.64791040480119,61.000604512365875,60.11646720891463,nan,2550
mech_band1.5,1,0.4,1,AdaptiveGCN,0.0,0.8082548379898071,34,7032,21.606,0.7147,1,56.637895882304136,26.51258988317212,55.15790005905554,58.59360729739067,3.12,850
mech_band1.5,1,0.4,1,AdaptiveGCN,0.0,0.8082548379898071,34,7032,21.606,0.7147,2,93.33697497863804,39.04360787295901,61.22951659606799,61.85951856184142,3.72,850
mech_band1.5,1,0.4,1,AdaptiveGCN,0.0,0.8082548379898071,34,7032,21.606,0.7147,3,117.87818946955508,47.387533458272436,66.61439688197406,59.88970882032694,6.2,850
mech_band1.5,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,34,7032,27.446,0.4662,0,119.05058894117506,45.70389825673822,65.1535202227742,59.03948695473805,nan,2550
mech_band1.5,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,34,7032,27.446,0.4662,1,84.82569533333226,34.08959542839624,57.495212054921176,54.91069830159084,3.96,850
mech_band1.5,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,34,7032,27.446,0.4662,2,106.87349554257825,43.55827898971333,64.87049936766444,59.82086579530189,3.8,850
mech_band1.5,1,0.4,2,AdaptiveGCN,0.0,0.739835262298584,34,7032,27.446,0.4662,3,154.6020230897678,59.463820352105095,73.09484924573702,62.35478384827624,8.64,850
mech_band1.5,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,34,7032,27.845,0.7383,0,121.39343425155337,43.47365714659289,43.1393509724548,51.811399989469386,nan,2550
mech_band1.5,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,34,7032,27.845,0.7383,1,107.28851044737618,38.08372628398938,38.06556235346553,44.112252093278045,1.24,850
mech_band1.5,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,34,7032,27.845,0.7383,2,122.63905789583667,45.04921813285252,42.496967161063466,51.235658220416305,2.04,850
mech_band1.5,2,0.475,0,AdaptiveGCN,0.0,0.8029313683509827,34,7032,27.845,0.7383,3,132.88316162164227,47.28802702293677,48.855523402835374,60.08628965471382,4.04,850
mech_band1.5,2,0.475,1,AdaptiveGCN,0.0,0.587054967880249,34,7032,108.699,0.6499,0,357.61848487842605,74.05232610961258,48.51159057016016,63.174216485492316,nan,2550
mech_band1.5,2,0.475,1,AdaptiveGCN,0.0,0.587054967880249,34,7032,108.699,0.6499,1,79.53741005734312,31.572105555830742,38.41259740310101,43.17201299210987,1.88,850
mech_band1.5,2,0.475,1,AdaptiveGCN,0.0,0.587054967880249,34,7032,108.699,0.6499,2,201.78700595712453,60.48866832438856,46.974603977742326,58.58040119661704,1.84,850
mech_band1.5,2,0.475,1,AdaptiveGCN,0.0,0.587054967880249,34,7032,108.699,0.6499,3,580.1971620134422,130.09620444861844,60.14757032963713,87.77023526775008,2.92,850
mech_band1.5,2,0.475,2,AdaptiveGCN,0.0,0.5306591391563416,34,7032,57.612,0.5942,0,159.88039006387913,53.748880026349795,48.34688164373118,56.63318682019308,nan,2550
mech_band1.5,2,0.475,2,AdaptiveGCN,0.0,0.5306591391563416,34,7032,57.612,0.5942,1,145.1295756322287,48.36154125734506,43.80067441057781,51.11415984134216,2.68,850
mech_band1.5,2,0.475,2,AdaptiveGCN,0.0,0.5306591391563416,34,7032,57.612,0.5942,2,181.2166123149834,59.57331456066054,48.745885719799574,58.65723654541566,4.6,850
mech_band1.5,2,0.475,2,AdaptiveGCN,0.0,0.5306591391563416,34,7032,57.612,0.5942,3,150.9409257915979,53.31178426104378,52.49408480081614,60.12816407382145,4.92,850
