label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
W16,1,0.4,0,AdaptiveGCN,0.0,0.6613123416900635,1.0,gtcn,none,146,146,33,11960,109.203,1.5491,0,188.46168355441355,76.90809489216919,60.120308755600284,48.97588474036242,nan,2475
W16,1,0.4,0,AdaptiveGCN,0.0,0.6613123416900635,1.0,gtcn,none,146,146,33,11960,109.203,1.5491,1,167.62433662796676,67.18330472517646,53.60111383901817,45.46396036838641,2.6,825
W16,1,0.4,0,AdaptiveGCN,0.0,0.6613123416900635,1.0,gtcn,none,146,146,33,11960,109.203,1.5491,2,195.51441306644756,80.7983864290064,63.404926666297754,49.725638665490926,3.32,825
W16,1,0.4,0,AdaptiveGCN,0.0,0.6613123416900635,1.0,gtcn,none,146,146,33,11960,109.203,1.5491,3,200.57321495605623,82.74259352232471,63.354885761484915,51.7192463910373,3.92,825
W16,1,0.4,1,AdaptiveGCN,0.0,0.6051433086395264,1.0,gtcn,none,146,146,33,11960,169.039,14.7599,0,171.51145847708187,70.41644488980467,56.964491713419996,48.00437888465706,nan,2475
W16,1,0.4,1,AdaptiveGCN,0.0,0.6051433086395264,1.0,gtcn,none,146,146,33,11960,169.039,14.7599,1,135.4339467076998,55.69947559361205,48.80353631380022,43.77381195946571,2.4,825
W16,1,0.4,1,AdaptiveGCN,0.0,0.6051433086395264,1.0,gtcn,none,146,146,33,11960,169.039,14.7599,2,181.2714872597282,75.02260892474573,59.97614641519342,48.908979456499544,3.36,825
W16,1,0.4,1,AdaptiveGCN,0.0,0.6051433086395264,1.0,gtcn,none,146,146,33,11960,169.039,14.7599,3,192.4755442975275,80.52725015105624,62.11379241126635,51.30769286342307,4.32,825
W16,1,0.4,2,AdaptiveGCN,0.0,0.6475963592529297,1.0,gtcn,none,146,146,33,11960,108.883,2.171,0,170.81488873728654,69.23899252341401,56.714510568835976,48.09823227106677,nan,2475
W16,1,0.4,2,AdaptiveGCN,0.0,0.6475963592529297,1.0,gtcn,none,146,146,33,11960,108.883,2.171,1,110.31468503223911,47.37405453211882,46.40012987914359,43.10420667739513,1.16,825
W16,1,0.4,2,AdaptiveGCN,0.0,0.6475963592529297,1.0,gtcn,none,146,146,33,11960,108.883,2.171,2,199.57992045265289,81.4919834121881,62.65847491002866,50.241903897135806,4.08,825
